feature	current_translator_claim	classification	current_source_evidence	current_test_example	effect_on_translation	affected_row_keys_or_rule	probe_command	probe_result
negative_binomial_2	BRM lacks stock NegativeBinomial2 marker/lowering; Distributions.NegativeBinomial is non-identical	genuinely-missing-brm-surface	BRM src/sbimpl.jl:3587-3639 maps only Distributions.NegativeBinomial to neg_binomial; StanBlocks src/slic_stan/lpxf_builtin.jl:54-57 registers neg_binomial_2_lpmf	StanBlocks test/items.jl:3150-3160 stanc-checks scalar neg_binomial_2	Keep unsupported until a native BRM NB2 marker/lowering lands; do not use Distributions.NegativeBinomial as an alias	bambi:negative_binomial_main,bambi:negative_binomial_interaction,bambi:count_roaches_nb,bambi:plot_pred_nb,brms:distreg_nb,rstanarm:roaches_nb,glm_jl:quine_nb	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	stanblocks_nb2_vector stanc=true chars=1413
negative_binomial_2_log	Proposed log_mu/log_phi translation is blocked only by absent BRM marker/lowering	genuinely-missing-stanblocks-substrate	StanBlocks src/slic_stan/lpxf_builtin.jl:54-57 and builtin.jl:183-186 register neg_binomial_2_log_lpdf (discrete family should be lpmf); no lpdfs tracetype exists	No checked-in non-GLM neg_binomial_2_log test; test/items.jl:3150-3160 covers only non-log NB2	Revise blocker: both BRM marker/lowering and current StanBlocks non-GLM NB2Log lpxf family must be fixed before the proposed body is executable	research/historical_model_inventory/translate.jl:384-391; same NB row set	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	scalar and vector probes fail: tracetype not defined for neg_binomial_2_log_lpdfs
negative_binomial_phi_link	Stan neg_binomial_2_log logs mu only, so phi must be exp(log_phi)	already-expressible-via-semantic-rewrite	Stan function contract is reflected by separate third phi argument in StanBlocks src/slic_stan/builtin.jl:373-395; translator translate.jl:389-391 explicitly exponentiates phi	No green non-GLM NB2Log test because of the substrate defect above	Preserve exp(log_phi); do not pass log_phi directly when the substrate defect is repaired	all negativebinomial family rows with auxiliary phi	probe_surface.jl constructs neg_binomial_2_log(log_mu, exp(log_phi))	semantic transform correct; current substrate fails earlier in lpxf likelihood generation
distributions_negative_binomial_fallback	Current Julia/Stan parameterizations are documented non-identical	historical-semantics-unresolved	BRM src/sbimpl.jl:3587-3591 documents Distributions (r,p) versus Stan neg_binomial (alpha,beta) posterior mismatch	StanBlocks test/items.jl:3150-3155 only proves Stan neg_binomial compiles	Never count parse/stanc success of NegativeBinomial(r,p) as fidelity; require explicit conversion or native NB2	current NegativeBinomial audit reason; all NB rows	read-only source audit	not probed as a translation because source explicitly says non-identical
multiple_independent_outcomes	mvbind/joint declarations and any formula with more than one top-level ~ are rejected	already-expressible-verbatim	BRM src/macro.jl:7-27 says multiple ~ lines produce multi-response/distributional models	BRM test/generative_plan.jl:11-30 asserts two observation declarations and stanc; fresh probe	Translate independent responses as separate likelihood lines; correlation/rescor is a separate feature	translate.jl:215-229,299,315-316; mcelreath:mcelreath_btdata_intercept and other mvbind rows after rescor review	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	multi_response stanc=true chars=1771
correlated_multivariate_outcome	mvbind/rescor requires structured design	genuinely-missing-brm-surface	StanBlocks src/slic_stan/lpxf_builtin.jl:47-52 exposes multi_normal/multi_student_t/LKJ; BRM has no mvbind/rescor likelihood adapter	StanBlocks test/items.jl:887-903 and 3162-3167 stanc-check multi_normal and ragged multivariate structure	Do not mark substrate-missing; implement/review BRM outcome packing, covariance parameterization, and generated quantities	brms:btdata_compact,brms:nhanes_joint,brms:nhanes_error,mcelreath:mcelreath_btdata_full,mcelreath:mcelreath_btdata_interaction,mcmcglmm:btdata_bivariate,mcmcglmm:pbcseq_bivariate	checked-in test receipt	StanBlocks multivariate primitives stanc-green; no ordinary BRM rescor surface
multi_output_kernel_or_plate	Route-specific models have no ordinary formula substitute	already-expressible-via-semantic-rewrite	BRM src/sbimpl.jl:1635-1697 supports multiple eta/output blocks; StanBlocks plate supports ragged/multivariate cells	BRM test/kernel_term.jl:286-302 stanc+BridgeStan multi-output; test/plate_stress.jl:189-225	Keep route-specific, but do not describe as substrate missing; use reviewed kernel/plate rewrite where semantically faithful	semantic_route != ordinary_brm; multi-component domain models	checked-in stanc and BridgeStan gates	current tests exercise both stanc and finite BridgeStan density/gradient
known_response_se	se/resp_se is blocked as weighted/error-aware response	already-expressible-via-semantic-rewrite	BRM generic Normal lowering accepts expression/vector scale; web-macro/examples/2.7-se-weights-for-meta-analysis-and-weighted-regression.jl:1-7 uses y1 ~ Normal(loc, exposure)	That card records brmi through stan_compile/eval/generate/instantiate; fresh probe	Translate sigma=false known-SE meta-analysis to y ~ Normal(loc,se); keep sigma=true additive residual separate	vasishth:meta_sbi; part of vasishth:indiv_diff_me and brms:phylo_effect after semantic review	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	known_se_rewrite stanc=true chars=1594
response_se_plus_residual	All se/resp_se syntax rejected together	genuinely-missing-brm-surface	The existing rewrite handles a supplied scale directly; no BRM operator derives sqrt(se^2+sigma^2) with the source package's priors/semantics	No dedicated checked-in test	Require an explicit linked residual scale and reviewed formula; do not collapse sigma=true to known-SE-only	kruschke:income_famsize,vasishth:indiv_diff_me	read-only source audit	not mechanically probed because historical residual semantics vary
frequency_or_likelihood_weights	weights(...) is blocked as weighted/error-aware response	genuinely-missing-brm-surface	StanBlocks @deffun/@lpxf and plate arithmetic can express weighted target contributions, but BRM has no likelihood-weight marker/emitter; translator translate.jl:302 blocks it	No BRM weights test; known-SE card is not a weights test	Keep true likelihood/frequency weights unsupported; do not use Normal scale rewrite as a substitute	epidist:delay_naive,epidist:delay_marginal	read-only source audit	no current BRM weights emitter found
measurement_error_predictor_scalar_sd	me(...) is always rejected	already-expressible-verbatim	BRM src/sbimpl.jl:16-24 and 3279-3299 implement me(x,sd) with latent x_true and observed Normal; sd must be positive scalar	web-macro/examples/3.2-inferred-predictors-measurement-error-me.jl:1-7 records full stages; fresh probe	Allow me(x,constant_sd); retain rejection for per-row errors and source models needing a different latent prior	translate.jl:301; vasishth:indiv_diff_me only partly matches because se_pcu is row-specific	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	measurement_error_me stanc=true chars=2677
measurement_error_predictor_vector_sd	me(...) is always rejected	genuinely-missing-brm-surface	BRM src/sbimpl.jl:3279-3283 explicitly says per-row error sizes require a vector kwarg and tweaked submodel	No vector-SD me test	Keep row-specific measurement error unsupported or add emitter; scalar me probe does not validate it	vasishth:indiv_diff_me,brms:nhanes_error	read-only source audit	explicit source limitation
missing_normal_response	mi(...) is always rejected	already-expressible-verbatim	BRM src/macro.jl:159-167 and src/sbimpl.jl:2088-2146 implement observed/missing split for Normal response	Fresh probe with Union{Missing,Float64} response	Allow mi(y) ~ Normal(...) when the historical model is response imputation; validate coupled formulas separately	translate.jl:300; response side of brms:nhanes_joint,mcelreath:milk_mi,mcelreath:lynx_hare_mi	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	missing_normal_mi stanc=true chars=2758
missing_non_normal_or_predictor	mi(...) is always rejected	genuinely-missing-brm-surface	BRM src/sbimpl.jl:2107-2113 supports only Normal and explicitly says predictor-side mi(x) is not drafted	No checked-in non-Normal/predictor-mi positive test	Split translator rule: retain unsupported for predictor-side or non-Normal mi; do not reject supported response Normal	brms:nhanes_joint,brms:nhanes_error,mcelreath:milk_mi,mcelreath:lynx_hare_mi,mcelreath:waffle_divorce_meas_err	read-only source audit	explicit not-yet-implemented source text
stanblocks_automatic_missing_continuous	Missing values imply no substrate support	already-expressible-via-semantic-rewrite	StanBlocks src/slic_stan/tracing.jl:97-145,186-236 automatically splits partly missing continuous elementwise outcomes and refuses discrete/joint cases	StanBlocks test/items.jl:577 onward labels partly-missing-vector imputation tests	Do not classify continuous elementwise imputation as substrate-missing; BRM's narrower adapter is the practical limit	missing-response rules generally	checked-in source/test receipt	continuous outcomes supported at substrate layer; joint/discrete intentionally refused
censored_normal_or_student_t	cens/censored/trunc is always unsupported	already-expressible-via-semantic-rewrite	StanBlocks src/slic_stan/builtin.jl:1180-1276 implements censored Normal and Student-t via lcdf/lccdf; BRM src/sbimpl.jl:3691-3748 has a specialized TruncatedNormal adapter	StanBlocks test/items.jl:2929-2939,5052-5079; BRM test/kernel_term.jl:246-252	Permit a reviewed kernel/specialized rewrite for matching LOQ censor semantics; general formula wrapper is still absent	bambi survival rows only if their censor coding and family match; kruschke:censored_interval,kruschke:censored_lr after review	checked-in stanc gates	registered vector signatures stanc-green
mathematical_truncation	trunc is grouped with censoring	genuinely-missing-brm-surface	Current function named truncated_normal is documented as a censored-LOQ model, not a normalization-over-truncated-support operator: StanBlocks src/slic_stan/builtin.jl:1180-1209	No arbitrary truncation test	Do not map trunc(ub=...) to the censored-LOQ helper; implement an explicit truncation likelihood/normalizer	burkner_papers:epilepsy_trunc	read-only semantic audit	unsupported; existing censor helper is not equivalent
zero_inflated_poisson	Rows are blocked only because mean and zi submodels are not authoritatively paired	genuinely-missing-brm-surface	BRM src/sbimpl.jl:65-73 and 388-440 ship marker+UDF, but src/sbimpl.jl:3653-3663 generic dispatcher accepts only Distribution and has no ZIP specialization	web-macro/examples/0.14-zip.jl:1-7 is unstamped; direct SLIC UDF probe succeeds while BRM construction fails	Correct translator note: source pairing is one issue, and current BRM ZIP lowering is independently broken	bambi:zip_mu,bambi:zip_psi,bambi:plot_comp_zip,brms:distreg_zip,glmmtmb:owls_zip and other ZIP components	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	BUILD zip=false unsupported family; stanblocks_brm_zip_udf stanc=true chars=2211
hurdle_poisson	Family has no semantics-preserving translation	genuinely-missing-brm-surface	No BRM HurdlePoisson marker/lowering; StanBlocks custom @deffun/@lpxf facility used for ZIP demonstrates adequate substrate for a zero-truncated Poisson plus hurdle probability	No hurdle test	Keep unsupported until a reviewed UDF and BRM family adapter land; never alias ZIP	bambi:hurdle_mu,bambi:hurdle_psi,glmmtmb:owls_hurdle	read-only source audit	no current BRM hurdle surface
categorical_outcome	Categorical likelihood family has no current translation	genuinely-missing-brm-surface	StanBlocks src/slic_stan/lpxf_builtin.jl:59-61 and builtin.jl:183-186 expose categorical/categorical_logit; BRM src/sbimpl.jl:3614-3639 has no outcome marker/mapping	StanBlocks builtin registrations; categorical RNG implementations at builtin.jl:1144-1155	Implement BRM categorical-logit/simplex adapter; substrate is present	bambi:categorical_toy,bambi:categorical_iris,bambi:categorical_alligator,kruschke:softmax_categorical	checked-in source receipt	no BRM outcome-family method; StanBlocks primitive present
categorical_predictor	Categorical/structured terms may be swept into unsupported formula rules	already-expressible-verbatim	BRM src/macro.jl:150-157 defines factor(x;ref); src/sbimpl.jl:517 onward and 738 onward implement treatment coding	Current web examples and internal categorical coding paths	Do not confuse categorical outcome gap with categorical predictor support; use factor or categorical data with reviewed contrasts	formulas using C(...),S(...),factor-like predictor syntax	read-only source audit	current predictor emitter exists; source contrast semantics still require review
ordinal_proportional_odds_logit	Ordered/cumulative family translation support is uncertain	already-expressible-verbatim	BRM src/sbimpl.jl:44-53 and 3596-3613 implements OrderedLogistic with ordered cutpoints; StanBlocks lpxf_builtin.jl:60-61 registers ordered_logistic	web-macro/examples/0.17-ordered-logistic.jl:1-6; fresh probe	Translate only confirmed proportional-odds logit models to OrderedLogistic	bambi:ordinal_trolley_intercept,bambi:ordinal_trolley_effects and exact logit cumulative rows	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	ordered_logistic stanc=true chars=1850
other_ordinal_links	All ordinal-like families can use OrderedLogistic after inference	historical-semantics-unresolved	BRM has only OrderedLogistic; no probit, sequential-ratio, adjacent-category, category-specific or discrimination link adapters	No matching current test	Keep unsupported/unresolved unless the source explicitly entails proportional-odds logit	bambi:ordinal_hr_years,kruschke:ordinal_probit_disc,kruschke:ordinal_probit_hetero,kruschke:condlog1_ordinal,kruschke:condlog2_ordinal,mcmcglmm:sshorns_ordinal	read-only semantic audit	no semantics-preserving blanket rewrite
smooth_1d_default	bs with options is rejected; bare bs is rewritten to s	already-expressible-via-semantic-rewrite	BRM src/sbimpl.jl:3301-3326 implements fixed default rank-10 1D TPS; explicitly no bs/t2/k/knots	web-macro/examples/3.6-splines-gp-submodels-s-bs-gp-t2.jl:1-7 records full stages; fresh probe	Use s(x) only when source smooth semantics can defensibly be adapted; option-bearing bs remains non-mechanical	bambi spline rows; translate.jl:243-250	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	smooth_s stanc=true chars=1954
gp_hsgp_1d	All hsgp with arguments are rejected as multi-axis/multi-argument	already-expressible-via-semantic-rewrite	BRM src/macro.jl:111-119 and src/sbimpl.jl:3327-3393 support one x plus k,c and by group	web-macro/examples/0.16-gp-hsgp.jl:1-6; fresh probe	Parser should distinguish valid hsgp(x,m=K,c=C)/by rewrites from true multi-axis/options; verify prior/centering conventions	bambi:hsgp_1d_basic and possibly by_group after share_cov/centering review	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	gp_1d stanc=true chars=2240
gp_multi_axis_or_special_options	Multi-axis/options do not map mechanically to one-input gp	genuinely-missing-brm-surface	BRM src/sbimpl.jl:3333-3340 enforces one positional x and only k,c/by behavior; no tensor/multi-axis emitter	No positive multi-axis test	Keep unsupported; StanBlocks matrix/GP primitives exist but BRM semantics and basis construction are missing	bambi:hsgp_2d_iso,bambi:hsgp_2d_by_group,bambi:hsgp_2d_nocov,bambi:hsgp_2d_aniso,bambi:hsgp_2d_poisson plus centered/nocov variants	read-only source audit	explicit one-input surface
nonlinear_linked_predictors	Nonlinear parameter formulas need an explicit current linked-predictor design	already-expressible-via-semantic-rewrite	BRM src/macro.jl:7-27 supports multiple linked predictors and literal bindings; src/sbimpl.jl:3666-3689 lowers nested arithmetic elementwise	Current Gaussian/Beta distributional translations already emit log(sigma),log(phi) linked predictors	Replace blanket capability wording with review-required semantic rewrite; no mechanical bf(nl=true) conversion	brms:nonlinear_loss,mcelreath:howell1_nl,mcelreath:howell1_volume,burkner_papers:loss_rj and other multi-formula rows	read-only source audit	primitive expression/link machinery present; model-specific rewrite not probed
general_latent_variables	mi/domain latent patterns are classified unsupported	already-expressible-via-semantic-rewrite	BRM src/sbimpl.jl:1861-1952 provides a general structured-latent group-block floor; kernel and SLIC typed-LHS sampling expose arbitrary latent parameters	BRM test/kernel_term.jl:286-302 and plate_stress.jl:189-225	Route complex latent models through reviewed kernel/plate/structured blocks; do not claim ordinary formula equivalence	latent-variable/domain routes generally	checked-in stanc/BridgeStan tests	latent substrate works; formula adapter is model-specific
ar1_basic	Domain latent-process regex rejects AR/time-series capability	already-expressible-verbatim	BRM src/sbimpl.jl:35-42,525-549,3398-3415 implements ar(time;p=1)	web-macro/examples/3.7-autoregressive-submodels-ar-ar1.jl:1-7 records full stages; fresh probe	Allow only reviewed basic row-order AR1; annotate nonstationary initialization and time-as-length behavior	glmmtmb:ar1_covar only after grouped/stationary semantic comparison; basic AR rules	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/probe_surface.jl	ar1 stanc=true chars=2498
grouped_arma_state_space_or_renewal	Domain latent process is unsupported	historical-semantics-unresolved	Current BRM AR emitter supports p=1 only and merely uses time as length probe: src/sbimpl.jl:3398-3415; broader StanBlocks plate/DLM primitives do not define source semantics	StanBlocks lpxf_builtin.jl:49-50 includes gaussian_dlm_obs, but no BRM adapter	Keep route-specific/unresolved; do not substitute current ar1 for grouped AR1 covariance, ARMA, dynamic smooth, renewal, or nowcasting	glmmtmb:ar1_covar,mvgam time-series rows,epinowcast:enw_basic,enw_report_dow,enw_np_reference,enw_age_reference,enw_age_week_reference,enw_rt_renewal	read-only semantic audit	current AR1 is too narrow for mechanical translation
plates_and_ragged_models	Route-specific plate models have no ordinary formula substitute	already-expressible-via-semantic-rewrite	StanBlocks plate machinery supports ragged scalar, ragged multi_normal, correlated cells; BRM kernel composes plates	StanBlocks test/items.jl:870-903; BRM test/plate_stress.jl:189-225	Retain route-specific label, but report substrate as mature for reviewed rewrites	semantic_route values requiring plate/kernel	checked-in stanc and BridgeStan gates	stanc and finite BridgeStan density/gradient covered
plate_in_cell_masking	All plate needs are presumed expressible	genuinely-missing-stanblocks-substrate	BRM src/sbimpl.jl:1683-1697 explicitly records an in-cell cmt integer-mask shape gap caused by plate-local symbolic shape/substrate array indexing	No green test for the gap; source labels it unsupported	Record this narrow genuine substrate gap; it does not invalidate ordinary plate/ragged support	kernel models requiring per-cell compartment masking	read-only source audit	explicit current limitation
phylogenetic_covariance	fcor/gr structured covariance is blocked	genuinely-missing-brm-surface	StanBlocks lpxf_builtin.jl:47-52 has multi_normal/multi_normal_cholesky/LKJ; BRM gr means by-stratified grouping only (src/macro.jl:101-109), not cov=A	StanBlocks test/items.jl:3162-3167 and correlated plate tests	Implement fixed-covariance/Cholesky data adapter and group mapping; do not treat gr(...,cov=A) as current gr(...,by=)	brms:phylo_effect,brms:phylo_pois,brms:phylo_repeat_re,brms:phylo_simple_re,brms:phylo_simple_resid,mcelreath:primates301_phylo	checked-in substrate tests	StanBlocks covariance primitives compile; BRM phylo adapter absent
stratified_gr_by	All gr(...) is classified as unsupported structured covariance	already-expressible-verbatim	BRM src/macro.jl:101-109 defines gr(group;by=strata) with separate covariance by stratum; sbimpl group walker implements it	BRM current ranef centered/cv test suites exercise structured groups	Split translator regex: gr(...,by=) is supported, gr(...,cov=A) is not	translate.jl:304; any current-BRM gr-by formulas	checked-in BRM ranef tests	current gr-by surface exists
multi_membership	mm(...) has no current emitter	genuinely-missing-brm-surface	No BRM mm marker/emitter; StanBlocks plate/matrix/vector arithmetic and correlated group-cell substrate are sufficient primitives	BRM test/plate_stress.jl:189-225 proves crossed/correlated plate substrate, not mm semantics	Translator claim is accurate at BRM surface; do not escalate to StanBlocks missing	burkner_papers:multi_member_equal,burkner_papers:multi_member_weighted	read-only source audit	no mm emitter found; substrate building blocks present
