warmuphmc	warmuphmc_draws	evidence_kind	brmi_parse	stanc	stan_transpile	semantic_route	stan_code_sha256	family_selected	variant	surface_support_class	probe_id	gradient_finite	evidence_from	descriptor	key	deployed	static_error_stage	static_error	translation_status	log_density	runtime_error	stan_data_sha256	sbbrmi_lower	dimension	historical_formula	warmuphmc_error	surface_secondary_gap	family_selected_provenance	source	bridgestan_instantiate	current_brm_body	row_index	data_shape_assumptions	brmi_eval
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	escs	true			unresolved-family				not-run		drugs ~ o + c + e + a + n		family evidence remains indeterminate	unresolved	bambi	not-run		1	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	ff360b57fddd06f6dd9d434abbdd4296a11c7feb900f03251789572d554a1bf4	gaussian	inferred-family	already-expressible-verbatim	1de46a383b6fd66d	true	2	pass	escs	true			ready	-6.641951786101243		d5765f001f2fc70f3bc4494a7e148397f8c428784a2b77e6433a717d0bc238c4	pass	6	drugs ~ o + c + e + a + n			inferred-from-description	bambi	pass	loc ~ o + c + e + a + n\nlog(sigma) ~ 1\ndrugs ~ Normal(loc, sigma)	1	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	cherry_blossoms_explicit	true			unresolved-family				not-run		doy ~ bs(year, knots=iknots, intercept=True)		family evidence remains indeterminate	unresolved	bambi	not-run		2	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		gaussian	inferred-family	historical-semantics-unresolved		not-run		not-run	cherry_blossoms_explicit	true			unsupported				not-run		doy ~ bs(year, knots=iknots, intercept=True)			inferred-from-description	bambi	not-run		2	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	cherry_blossoms_absorbed	true			unresolved-family				not-run		doy ~ bs(year, knots=iknots)		family evidence remains indeterminate	unresolved	bambi	not-run		3	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		gaussian	inferred-family	historical-semantics-unresolved		not-run		not-run	cherry_blossoms_absorbed	true			unsupported				not-run		doy ~ bs(year, knots=iknots)			inferred-from-description	bambi	not-run		3	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	dietox	true			unresolved-family				not-run		Weight ~ Time + (Time|Pig)		family evidence remains indeterminate	unresolved	bambi	not-run		4	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	f775e281d2707ac0d685e8a2d1b7d54ea7cda287b076d970a2f47664c986580f	gaussian	inferred-family	already-expressible-verbatim	e633874c6aa03216	true	8	pass	dietox	true			ready	-8.317384082920588		27e4a80934d5d43af7f04a3b599f2b919897ca4019f4f7b0359496c0561e0939	pass	6	Weight ~ Time + (Time|Pig)			inferred-from-description	bambi	pass	loc ~ Time + (Time|Pig)\nlog(sigma) ~ 1\nWeight ~ Normal(loc, sigma)	4	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	sleepstudy	true			unresolved-family				not-run		Reaction ~ 1 + Days + (Days | Subject)		family evidence remains indeterminate	unresolved	bambi	not-run		5	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	c234a305f43ff86987704aca7d99883449aaa5d29c4008f6084cd8a7f971e096	gaussian	inferred-family	already-expressible-verbatim	120c7abcf006cdf4	true	10	pass	sleepstudy	true			ready	-8.317384082920588		1edfbb7abc19fd827115bbadf4019793a276980bcd69189649d239fdef65dca1	pass	7	Reaction ~ 1 + Days + (Days | Subject)			inferred-from-description	bambi	pass	loc ~ 1 + Days + (Days | Subject)\nlog(sigma) ~ 1\nReaction ~ Normal(loc, sigma)	5	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	radon_pooled	true			unresolved-family				not-run		log_radon ~ 0 + floor		family evidence remains indeterminate	unresolved	bambi	not-run		6	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	4b52b2624b2d878fbaeec21e188814f8b4167035882458058ee22a3aa2c76e02	gaussian	inferred-family	already-expressible-verbatim	e4fd4161c4711597	true	12	pass	radon_pooled	true			ready	-7.817384082920588		b4cfc1bb7bf164c423983db7d9c6e06c3cb16637504e3ccdb2272f878f01ec16	pass	2	log_radon ~ 0 + floor			inferred-from-description	bambi	pass	loc ~ 0 + floor\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	6	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	radon_nopooling	true			unresolved-family				not-run		log_radon ~ 0 + county:floor		family evidence remains indeterminate	unresolved	bambi	not-run		7	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	8f2a37ee2fbc509c892f978aaeb523dae01ae78fa45585cff61a59d0aa8083e3	gaussian	inferred-family	already-expressible-via-semantic-rewrite	f66156a0512117f2	true	14	pass	radon_nopooling	true			ready	-3.8069883206128132		e8700a3971454ddc27dc5401bae43dd07efed661be6906bf15034826c8a1aade	pass	2	log_radon ~ 0 + county:floor			inferred-from-description	bambi	pass	loc ~ 0 + county & floor\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	7	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	radon_partial	true			unresolved-family				not-run		log_radon ~ 1 + (1|county)		family evidence remains indeterminate	unresolved	bambi	not-run		8	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	cdd785639a1743ba8874e60815beee900005ed1abd97bcfb4c5ac68109f53c45	gaussian	inferred-family	already-expressible-verbatim	028bfd95057ed5a1	true	16	pass	radon_partial	true			ready	-8.47744637392999		9c7f9604748a5de7aab16c2849dab2949f58bf3350e0708aca7e26c546f8b58d	pass	6	log_radon ~ 1 + (1|county)			inferred-from-description	bambi	pass	loc ~ 1 + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	8	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	radon_floor	true			unresolved-family				not-run		log_radon ~ 1 + floor + (1|county)		family evidence remains indeterminate	unresolved	bambi	not-run		9	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	0c00e69534d1b1dd58cb916ff105e14b96410f43e992baa7d897beba2ca07037	gaussian	inferred-family	already-expressible-verbatim	b56724233a9c414d	true	18	pass	radon_floor	true			ready	-7.817384082920588		6a3fb93de56743080df55bbaf2cf1642fb8e0b4b60d31e23b75f514054501aed	pass	7	log_radon ~ 1 + floor + (1|county)			inferred-from-description	bambi	pass	loc ~ 1 + floor + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	9	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	radon_slopes	true			unresolved-family				not-run		log_radon ~ floor + (floor|county)		family evidence remains indeterminate	unresolved	bambi	not-run		10	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	9cff9b063dd3f71b0e58587a853214b559815aeeac3d7787cb22445dbc3e071a	gaussian	inferred-family	already-expressible-verbatim	78f4dc75e92b683c	true	20	pass	radon_slopes	true			ready	-8.317384082920588		d7f695d0ab8330e5d645a8f497e7c496fdb9c0bb4f31491d272a6f1be19d623f	pass	6	log_radon ~ floor + (floor|county)			inferred-from-description	bambi	pass	loc ~ floor + (floor|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	10	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	radon_county_pred	true			unresolved-family				not-run		log_radon ~ floor + log_u + (1|county)		family evidence remains indeterminate	unresolved	bambi	not-run		11	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	5ca014d4696093f88712ff8490ee41f6161213fd84da15d6afd2999088c89824	gaussian	inferred-family	already-expressible-verbatim	eb96fda1c41710fe	true	22	pass	radon_county_pred	true			ready	-3.8069883206128132		28c680f53e605ef263fa164d528e713e47523371a78bf5e330569a7c4bf688eb	pass	7	log_radon ~ floor + log_u + (1|county)			inferred-from-description	bambi	pass	loc ~ floor + log_u + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	11	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	strack_rrr_simple	true			unresolved-family				not-run		value ~ condition + (1|uid)		family evidence remains indeterminate	unresolved	bambi	not-run		12	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	a9bb78235ba2acfdccd14b6865ee54299358736f62d7126b94d9af08ed153a12	gaussian	inferred-family	already-expressible-verbatim	f300aae241e42e94	true	24	pass	strack_rrr_simple	true			ready	-7.817384082920588		9fb4180ccbc6793e6530af494bc42ac9863b628ee28eaa3da4029b54caea14be	pass	6	value ~ condition + (1|uid)			inferred-from-description	bambi	pass	loc ~ condition + (1|uid)\nlog(sigma) ~ 1\nvalue ~ Normal(loc, sigma)	12	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	strack_rrr_full	true			unresolved-family				not-run		value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)		family evidence remains indeterminate	unresolved	bambi	not-run		13	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		direct	pass	pass	pass	ordinary_brm	79c859151228b600220b2b7f10cc872ac060416ad414807b604416944045a195	gaussian	inferred-family	already-expressible-verbatim	49e10b0e231ac524	true	26	pass	strack_rrr_full	true			ready	-2.5583030664754682		825f5f0ff797fcf95022ab2df9f19c339ecaa0f37e83417e322812873d186043	pass	16	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)			inferred-from-description	bambi	pass	loc ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)\nlog(sigma) ~ 1\nvalue ~ Normal(loc, sigma)	13	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	pass
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	shooter_rate_simple	true			unresolved-family				not-run		rate ~ S(race) * S(object) + (S(race) * S(object) | subject)		family evidence remains indeterminate	unresolved	bambi	not-run		14	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		gaussian	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	shooter_rate_simple	true			semantic-rewrite				not-run		rate ~ S(race) * S(object) + (S(race) * S(object) | subject)			inferred-from-description	bambi	not-run		14	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm			exact-metadata	historical-semantics-unresolved		not-run		not-run	shooter_rate_target	true			unresolved-family				not-run		rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)		family evidence remains indeterminate	unresolved	bambi	not-run		15	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
not-run		not-probed	not-run	not-run	not-run	ordinary_brm		gaussian	inferred-family	already-expressible-via-semantic-rewrite		not-run		not-run	shooter_rate_target	true			semantic-rewrite				not-run		rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)			inferred-from-description	bambi	not-run		15	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run
