ordinal	row_key	catalog_source	catalog_key	deployed	name	example	dataset	formula	family_explicit	family_description_claim	claimed_source_url	dataset_source_urls	source_file	hidden_claim	verified_claim	deployed_renderer_family_claim	deployed_family_provenance	retrieved_at	http_status	curl_exit	final_url	content_type	citation_authority_class	data_only_citation	formula_exact_observed	formula_terms_observed	formula_terms_missing	formula_support	family_support	dataset_support	semantic_support_verdict	semantic_support_reason	correction_with_evidence	evidence_anchor	body_sha256
1	bambi/escs	bambi	escs	true	Multiple Linear Regression	escs	escs	drugs ~ o + c + e + a + n		gaussian	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	https://ndownloader.figshare.com/files/28870722	bambi.jl		true	gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.539495+00:00	200	0	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	drugs		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=0; matched_terms=linear,multiple,regression; context_sha256=9e389253f340799c	39b640cdf7da4d26e676831930e1981e17c153ef1f450d2461f8b18345c28816
2	bambi/cherry_blossoms_explicit	bambi	cherry_blossoms_explicit	true	Regression Splines — Explicit Intercept	cherry_blossoms	cherry_blossoms	doy ~ bs(year, knots=iknots, intercept=True)		gaussian	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	https://ndownloader.figshare.com/files/31072807	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.612484+00:00	200	0	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	doy,year,knots,iknots,intercept		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=2874; matched_terms=cherry_blossoms,doy,year; context_sha256=2f1fa945820e4fd9	f30a483595ba2cabe13f7833db6bc6b71bcdc9d50b4576d208b03ab621f08390
3	bambi/cherry_blossoms_absorbed	bambi	cherry_blossoms_absorbed	true	Regression Splines — Absorbed Intercept	cherry_blossoms	cherry_blossoms	doy ~ bs(year, knots=iknots)		gaussian	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	https://ndownloader.figshare.com/files/31072807	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.612484+00:00	200	0	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	doy,year,knots,iknots		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=2874; matched_terms=cherry_blossoms,doy,year; context_sha256=2f1fa945820e4fd9	f30a483595ba2cabe13f7833db6bc6b71bcdc9d50b4576d208b03ab621f08390
4	bambi/dietox	bambi	dietox	true	Hierarchical Linear Regression — Pig Growth	dietox	dietox	Weight ~ Time + (Time|Pig)		gaussian	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.571485+00:00	200	0	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	weight,time,pig		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=32; matched_terms=hierarchical,linear,pig,regression; context_sha256=5c63a9b5d81f61bc	81282bd4c28db9192948ad5647f670e82caff32ec8bb2a484d444c6f20914364
5	bambi/sleepstudy	bambi	sleepstudy	true	Hierarchical Linear Regression — Sleep Deprivation	sleepstudy	sleepstudy	Reaction ~ 1 + Days + (Days | Subject)		gaussian	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	https://ndownloader.figshare.com/files/31181002	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.611857+00:00	200	0	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	reaction,days,subject		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=32; matched_terms=hierarchical,linear,regression,sleep,sleepstudy; context_sha256=f743de055d0c0408	ea98686a223bac28c7fca02e91b479047736565c0fa8e292204398d014a6af2d
6	bambi/radon_pooled	bambi	radon_pooled	true	Radon — Complete Pooling	radon	radon	log_radon ~ 0 + floor		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610088+00:00	200	0	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	log_radon,floor		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=32; matched_terms=radon; context_sha256=6772ed23bfaf627b	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f
7	bambi/radon_nopooling	bambi	radon_nopooling	true	Radon — No Pooling	radon	radon	log_radon ~ 0 + county:floor		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610088+00:00	200	0	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	log_radon,county,floor		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=1902; matched_terms=county,pooling; context_sha256=be17a1919e3ed9e4	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f
8	bambi/radon_partial	bambi	radon_partial	true	Radon — Partial Pooling (Intercept Only)	radon	radon	log_radon ~ 1 + (1|county)		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610088+00:00	200	0	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	true	log_radon,county		exact_text_present	explicit_token_present	name_or_key_present	confirmed	The retrieved official/primary source contains the normalized claimed formula text.		text_offset=1902; matched_terms=county,intercept,partial,pooling; context_sha256=be17a1919e3ed9e4	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f
9	bambi/radon_floor	bambi	radon_floor	true	Radon — Partial Pooling with Floor	radon	radon	log_radon ~ 1 + floor + (1|county)		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610088+00:00	200	0	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false	log_radon,floor,county		partial_semantic_terms:3/3	explicit_token_present	name_or_key_present	adapted-but-defensible	The source contains the model's distinctive response/predictor terms but not the exact catalog formula; the catalog expression is an adaptation.		text_offset=1902; matched_terms=county,partial,pooling; context_sha256=be17a1919e3ed9e4	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f
10	bambi/radon_slopes	bambi	radon_slopes	true	Radon — Varying Slopes	radon	radon	log_radon ~ floor + (floor|county)		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			gaussian	CatalogServer_default_unsubstantiated	2026-07-28T21:07:08.610088+00:00	200	0	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	cited_project_author_publisher_surface	false	false	log_radon,floor,county		partial_semantic_terms:3/3	explicit_token_present	name_or_key_present	adapted-but-defensible	The source contains the model's distinctive response/predictor terms but not the exact catalog formula; the catalog expression is an adaptation.		text_offset=1902; matched_terms=county,slopes,varying; context_sha256=be17a1919e3ed9e4	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f
