ordinal	row_key	old_verdict	manual_verdict	name	dataset	formula	family_explicit	claimed_source_url	retrieved_at	http_status	final_url	content_type	body_sha256	first_pass_evidence_anchor	manual_evidence_anchor	manual_support_reason	manual_correction
9	bambi/radon_floor	adapted-but-defensible	adapted-but-defensible	Radon — Partial Pooling with Floor	radon	log_radon ~ 1 + floor + (1|county)		https://bambinos.github.io/bambi/notebooks/radon_example.html	2026-07-28T21:07:08.610088+00:00	200	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	text_offset=1902; matched_terms=county,partial,pooling; context_sha256=be17a1919e3ed9e4	radon_example: source model block containing log_radon, 0 + floor, and county random intercept	The cited model uses cell-means coding (0 + floor) while the catalog uses intercept-plus-contrast coding (1 + floor); for binary floor these span the same fixed-effect column space.	If source-literal reproduction is required, use log_radon ~ 0 + floor + (1 | county).
10	bambi/radon_slopes	adapted-but-defensible	adapted-but-defensible	Radon — Varying Slopes	radon	log_radon ~ floor + (floor|county)		https://bambinos.github.io/bambi/notebooks/radon_example.html	2026-07-28T21:07:08.610088+00:00	200	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	text_offset=1902; matched_terms=county,slopes,varying; context_sha256=be17a1919e3ed9e4	radon_example: varying-slopes model block with 0 + floor in fixed and county terms	The source uses floor cell means in both fixed and county-varying terms; the catalog uses intercept/slope coding. With a full correlated two-dimensional county effect this is an invertible reparameterization, although priors are not invariant.	For literal provenance use log_radon ~ 0 + floor + (0 + floor | county).
11	bambi/radon_county_pred	adapted-but-defensible	mismatch	Radon — County-Level Uranium Predictor	radon	log_radon ~ floor + log_u + (1|county)		https://bambinos.github.io/bambi/notebooks/radon_example.html	2026-07-28T21:07:08.610088+00:00	200	https://bambinos.github.io/bambi/notebooks/radon_example.html	text/html; charset=utf-8	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	text_offset=4733; matched_terms=log_radon,log_u,uranium; context_sha256=a17613a9646ec98d	radon_example: county-predictor model block containing log_u and 0 + floor | county	The cited model retains county-specific floor effects together with log uranium; the catalog drops the county-varying floor component and keeps only a county intercept.	Use log_radon ~ 0 + floor + log_u + (0 + floor | county), or cite a separate random-intercept-only adaptation.
33	bambi/model_comparison_cubic	adapted-but-defensible	confirmed	Model Comparison — Cubic	model_comparison	income['>50K'] ~ sex + race + scale(age) + I(scale(age)**2) + I(scale(age)**3) + scale(hs_week) + I(scale(hs_week)**2) + I(scale(hs_week)**3)		https://bambinos.github.io/bambi/notebooks/model_comparison.html	2026-07-28T21:07:08.569578+00:00	200	https://bambinos.github.io/bambi/notebooks/model_comparison.html	text/html; charset=utf-8	811f3df2ca426eda2e619b1ef27c8183d040b92ada5535df2a4ec174661956a7	text_offset=2890; matched_terms=hs_week,income,race,sex; context_sha256=6f402e9a5e8074fa	model_comparison: adult-model formula construction and Bernoulli model block	The page programmatically constructs the adult Bernoulli model from cubic age, hs_week, sex, and race; the catalog is the explicit expansion of that generated formula.	
109	brms/nhanes_error	adapted-but-defensible	mismatch	Handle Missing Values — Measurement Error Variant	nhanes	bf(bmi | mi() ~ age * mi(chl)) + bf(chl | mi(se = se_chl) ~ age) + set_rescor(FALSE)		https://paulbuerkner.com/brms/articles/brms_missings.html	2026-07-28T21:07:09.942004+00:00	200	https://paulbuerkner.com/brms/articles/brms_missings.html	text/html; charset=utf-8	89df3726b04404037f14d895c50a5dd59bebaf18a98625e24a5254e124467259	text_offset=108; matched_terms=age,handle,missing,values; context_sha256=2b7baba0456f00a5	brms_missings: measurement-error block defining nhanes$se and bf(chl | mi(se) ~ age)	The source creates nhanes$se and uses mi(se); the catalog names se_chl, but the historical loader exposes the untouched NHANES CSV and never creates that column.	Create an se column as in the vignette and use mi(se), or explicitly create se_chl in the adapter before fitting.
116	brms/btdata_explicit	adapted-but-defensible	adapted-but-defensible	Multivariate Models — Explicit Separate Formulas	btdata	bf(tarsus ~ sex + hatchdate + (1|p|fosternest) + (1|q|dam)) + bf(back ~ sex + hatchdate + (1|p|fosternest) + (1|q|dam)) + set_rescor(TRUE)		https://paulbuerkner.com/brms/articles/brms_multivariate.html	2026-07-28T21:07:09.960455+00:00	200	https://paulbuerkner.com/brms/articles/brms_multivariate.html	text/html; charset=utf-8	af83dd53217f1f1ec37d468b66e0ed351a28f64005629f88970a8e446280dbd5	text_offset=1140; matched_terms=back,btdata,dam,fosternest,hatchdate,separate,set_rescor,sex,tarsus; context_sha256=e368ec1230fe725a	brms_multivariate: compact mvbind model preceding separate-response examples	The two response-specific formulas are the semantic expansion of the source compact mvbind model with the same shared predictors and correlated residuals.	For source-literal syntax use the compact mvbind(tarsus, back) formula shown in the vignette.
117	brms/btdata_spline	adapted-but-defensible	mismatch	Multivariate Models — Skew-Normal with Splines	btdata	bf(tarsus ~ sex + s(hatchdate, k=5) + (1|p|fosternest) + (1|q|dam), family = skew_normal()) + bf(back ~ sex + s(hatchdate, k=5) + (1|p|fosternest) + (1|q|dam)) + set_rescor(TRUE)		https://paulbuerkner.com/brms/articles/brms_multivariate.html	2026-07-28T21:07:09.960455+00:00	200	https://paulbuerkner.com/brms/articles/brms_multivariate.html	text/html; charset=utf-8	af83dd53217f1f1ec37d468b66e0ed351a28f64005629f88970a8e446280dbd5	text_offset=1140; matched_terms=back,btdata,dam,fosternest,hatchdate,normal,set_rescor,sex,tarsus; context_sha256=e368ec1230fe725a	brms_multivariate: fit3 response-specific formulas and set_rescor(FALSE)	The source spline model assigns sex to tarsus, s(hatchdate) to back, uses skew-normal only for tarsus, and disables residual correlation. The catalog puts both predictors in both responses and enables residual correlation.	Use the source response-specific fit3 formulas and set_rescor(FALSE).
122	brms/phylo_simple_resid	adapted-but-defensible	mismatch	Phylogenetic Models — Additional Residual Effect	phylo_simple	phen ~ cofactor + (1|gr(phylo, cov = A)) + (1|phylo)		https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	2026-07-28T21:07:09.960974+00:00	200	https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	text/html; charset=utf-8	516b583db69a478b0990fb1cc14b7f4efac5c2246b184ad12601ede456f8c2a6	text_offset=1314; matched_terms=cofactor,cov,phen; context_sha256=a64b3ceeee029bf9	brms_phylogenetics: simple phylogenetic model block versus later repeated-measures block	The simple source model has only the phylogenetic covariance effect. The ordinary species intercept appears only in the repeated-observation model, so combining both here is not source-supported.	Use phen ~ cofactor + (1 | gr(phylo, cov = A)) for the simple model.
123	brms/phylo_repeat_re	adapted-but-defensible	mismatch	Phylogenetic Models — Repeated Observations	phylo_repeat	phen ~ cofactor + (1|gr(phylo, cov = A)) + (1|species)		https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	2026-07-28T21:07:09.960974+00:00	200	https://paulbuerkner.com/brms/articles/brms_phylogenetics.html	text/html; charset=utf-8	516b583db69a478b0990fb1cc14b7f4efac5c2246b184ad12601ede456f8c2a6	text_offset=11; matched_terms=models,phylo,phylogenetic,species; context_sha256=db99a8ce1a54dd12	brms_phylogenetics: repeated-measures formula containing spec_mean_cf	The repeated-observation source model uses the species-level mean covariate spec_mean_cf; the catalog substitutes raw cofactor, changing the estimand.	Use phen ~ spec_mean_cf + (1 | gr(phylo, cov = A)) + (1 | species).
247	epinowcast/enw_basic	adapted-but-defensible	mismatch	'Epinowcast — Basic: Geometric Random Walk + Lognormal Delay'	hosp_triangle	enw_expectation(~0 + (1|day)) + enw_reference(~1, dist='lognormal')		https://package.epinowcast.org/articles/epinowcast.html	2026-07-28T21:07:09.855522+00:00	200	https://package.epinowcast.org/articles/epinowcast.html	text/html; charset=utf-8	740bdaf817675c63e0bc01036c739c0c499799331e7099bfd1e134ef20643c33	text_offset=10480; matched_terms=geometric,random,walk; context_sha256=d58a988d62508610	epinowcast quick start: default expectation_module and reference_module definitions	The cited current quick start uses an expectation with a weekly random walk and day-of-week effect plus a lognormal parametric reference model. The catalog describes iid day effects as a geometric random walk and omits those modules.	Translate the current enw_expectation and lognormal enw_reference modules shown on the page.
