row_index	deployed	historical_sha	source	key	source_path	source_line	name_claim	example_claim	dataset_claim	dataset_source_claim	formula_claim	formula_return	formula_match	family_claim	family_text_claim	family_claim_provenance	row_source_claim	verified_claim	hidden_claim
1	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	escs	scripts/examples/bambi.jl	17	Multiple Linear Regression	escs	escs	https://ndownloader.figshare.com/files/28870722	drugs ~ o + c + e + a + n	drugs ~ o + c + e + a + n	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	true	false
2	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	cherry_blossoms_explicit	scripts/examples/bambi.jl	46	Regression Splines — Explicit Intercept	cherry_blossoms	cherry_blossoms	https://ndownloader.figshare.com/files/31072807	doy ~ bs(year, knots=iknots, intercept=True)	doy ~ bs(year, knots=iknots, intercept=True)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	false	false
3	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	cherry_blossoms_absorbed	scripts/examples/bambi.jl	63	Regression Splines — Absorbed Intercept	cherry_blossoms	cherry_blossoms	https://ndownloader.figshare.com/files/31072807	doy ~ bs(year, knots=iknots)	doy ~ bs(year, knots=iknots)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	false	false
4	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	dietox	scripts/examples/bambi.jl	92	Hierarchical Linear Regression — Pig Growth	dietox	dietox	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv	Weight ~ Time + (Time|Pig)	Weight ~ Time + (Time|Pig)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	false	false
5	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	sleepstudy	scripts/examples/bambi.jl	121	Hierarchical Linear Regression — Sleep Deprivation	sleepstudy	sleepstudy	https://ndownloader.figshare.com/files/31181002	Reaction ~ 1 + Days + (Days | Subject)	Reaction ~ 1 + Days + (Days | Subject)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	false	false
6	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	radon_pooled	scripts/examples/bambi.jl	162	Radon — Complete Pooling	radon	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	log_radon ~ 0 + floor	log_radon ~ 0 + floor	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	false
7	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	radon_nopooling	scripts/examples/bambi.jl	178	Radon — No Pooling	radon	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	log_radon ~ 0 + county:floor	log_radon ~ 0 + county:floor	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	false
8	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	radon_partial	scripts/examples/bambi.jl	194	Radon — Partial Pooling (Intercept Only)	radon	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	log_radon ~ 1 + (1|county)	log_radon ~ 1 + (1|county)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	false
9	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	radon_floor	scripts/examples/bambi.jl	209	Radon — Partial Pooling with Floor	radon	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	log_radon ~ 1 + floor + (1|county)	log_radon ~ 1 + floor + (1|county)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	false
10	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	radon_slopes	scripts/examples/bambi.jl	224	Radon — Varying Slopes	radon	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	log_radon ~ floor + (floor|county)	log_radon ~ floor + (floor|county)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	false
11	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	radon_county_pred	scripts/examples/bambi.jl	239	Radon — County-Level Uranium Predictor	radon	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	log_radon ~ floor + log_u + (1|county)	log_radon ~ floor + log_u + (1|county)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/radon_example.html	false	false
12	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	strack_rrr_simple	scripts/examples/bambi.jl	272	Strack RRR — Simple Random Effects	strack_rrr	strack_rrr	https://github.com/bambinos/bambi	value ~ condition + (1|uid)	value ~ condition + (1|uid)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	false	false
13	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	strack_rrr_full	scripts/examples/bambi.jl	288	Strack RRR — Full Crossed Random Effects	strack_rrr	strack_rrr	https://github.com/bambinos/bambi	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)	value ~ condition + age + gender + (1|uid) + (condition|study) + (condition|stimulus)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	false	false
14	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	shooter_rate_simple	scripts/examples/bambi.jl	321	Shooter Task — Rate (No Target Effect)	shooter	shooter	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	rate ~ S(race) * S(object) + (S(race) * S(object) | subject)	rate ~ S(race) * S(object) + (S(race) * S(object) | subject)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	false
15	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	shooter_rate_target	scripts/examples/bambi.jl	337	Shooter Task — Rate (With Target Effect)	shooter	shooter	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)	rate ~ S(race) * S(object) + (S(race) * S(object) | subject) + (S(object) | target)	true		gaussian	inferred-from-description	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	false
16	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	shooter_binary	scripts/examples/bambi.jl	353	Shooter Task — Binary Shoot Decision	shooter	shooter	https://raw.githubusercontent.com/bambinos/bambi/main/docs/notebooks/data/shooter.csv	shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)	shoot_or_not[shoot] ~ S(race)*S(object) + (S(race)*S(object) | subject) + (S(object) | target)	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/shooter_crossed_random_ANOVA.html	false	false
17	true	05c3f465e7987e8d7caa7e214fedddd90415a922	bambi	fixed_random_naive	scripts/examples/bambi.jl	390	Fixed/Random Effects — Naive Model	fixed_random	fixed_random	synthetic	y ~ x + z	y ~ x + z	true		bernoulli	inferred-from-description	https://bambinos.github.io/bambi/notebooks/fixed_random.html	false	false
