ordinal	row_key	catalog_source	catalog_key	deployed	name	example	dataset	formula	family_explicit	family_description_claim	claimed_source_url	dataset_source_urls	source_file	hidden_claim	verified_claim	description
1	bambi/escs	bambi	escs	true	Multiple Linear Regression	escs	escs	drugs ~ o + c + e + a + n		gaussian	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	https://ndownloader.figshare.com/files/28870722	bambi.jl		true	Linear regression of illegal drug use on Big Five personality scores. Family: gaussian.
2	bambi/cherry_blossoms_explicit	bambi	cherry_blossoms_explicit	true	Regression Splines — Explicit Intercept	cherry_blossoms	cherry_blossoms	doy ~ bs(year, knots=iknots, intercept=True)		gaussian	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	https://ndownloader.figshare.com/files/31072807	bambi.jl			Spline basis regression of bloom day-of-year on year, with explicit intercept term in the basis expansion. Family: gaussian.
3	bambi/cherry_blossoms_absorbed	bambi	cherry_blossoms_absorbed	true	Regression Splines — Absorbed Intercept	cherry_blossoms	cherry_blossoms	doy ~ bs(year, knots=iknots)		gaussian	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	https://ndownloader.figshare.com/files/31072807	bambi.jl			Spline basis regression of bloom day-of-year on year, with model intercept absorbed (not explicit in the basis). Family: gaussian.
4	bambi/dietox	bambi	dietox	true	Hierarchical Linear Regression — Pig Growth	dietox	dietox	Weight ~ Time + (Time|Pig)		gaussian	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv	bambi.jl			Mixed-effects model of pig weight over time with random slope and intercept per pig. Family: gaussian.
5	bambi/sleepstudy	bambi	sleepstudy	true	Hierarchical Linear Regression — Sleep Deprivation	sleepstudy	sleepstudy	Reaction ~ 1 + Days + (Days | Subject)		gaussian	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	https://ndownloader.figshare.com/files/31181002	bambi.jl			Mixed-effects model of reaction time on days of sleep deprivation with random slope and intercept per subject. Family: gaussian.
6	bambi/radon_pooled	bambi	radon_pooled	true	Radon — Complete Pooling	radon	radon	log_radon ~ 0 + floor		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			Complete pooling model: single intercept per floor type, ignoring county structure. Family: gaussian.
7	bambi/radon_nopooling	bambi	radon_nopooling	true	Radon — No Pooling	radon	radon	log_radon ~ 0 + county:floor		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			No-pooling model: separate intercept for each county-floor combination. Family: gaussian.
8	bambi/radon_partial	bambi	radon_partial	true	Radon — Partial Pooling (Intercept Only)	radon	radon	log_radon ~ 1 + (1|county)		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			Partial pooling with random county intercepts, no floor predictor. Family: gaussian.
9	bambi/radon_floor	bambi	radon_floor	true	Radon — Partial Pooling with Floor	radon	radon	log_radon ~ 1 + floor + (1|county)		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			Partial pooling with floor as fixed effect and random county intercepts. Family: gaussian.
10	bambi/radon_slopes	bambi	radon_slopes	true	Radon — Varying Slopes	radon	radon	log_radon ~ floor + (floor|county)		gaussian	https://bambinos.github.io/bambi/notebooks/radon_example.html	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	bambi.jl			Partial pooling with random slope and intercept for floor by county. Family: gaussian.
