source_fidelity_first_pass	inferred_translation_note	family_audit_dataset_evidence	source_fidelity_verdict	family_audit_evidence_strength	source_line	renderer_family_provenance	probe_id	renderer_family_claim	family_discrepancy	family_adapter_clean_reviewed_sha	family_audit_authoritative_revision	formula_support	family_adapter_canonical_sha	dimension	failure_stage	descriptor_mount_contract	source_path	formula_claim_matches_return	family_audit_authoritative_path_anchor	family_audit_retrieved_at_utc	brmi_eval	dataset_claim	exact_current_brm_body	warmuphmc_draws	dataset_receipt_statuses	data_only_citation	family_adapter_validation_sha	source_fidelity_manual_reviewed	stan_transpile	family_description_claim	family_audit_evidence_class	family_adapter_control_tier	descriptor	inferred_current_brm_body	sbbrmi_lower	exact_translation_status	receipt_final_url	sbpmx_semantic_pattern	citation_authority_class	historical_sha	source_correction_with_evidence	receipt_evidence_anchor	semantic_route_note	receipt_http_status	data_shape_assumptions	warmuphmc	row_source_claim	source_fidelity_reason	inferred_family_provenance	semantic_route	exact_surface_secondary_gap	family_audit_negative_evidence	probe_evidence_from_row	log_density	exact_surface_support_class	exact_evidence_kind	stan_data_sha256	family_support	failure_evidence	exact_probe_id	inferred_translation_status	receipt_body_sha256	source	family_audit_http_status	bridgestan_instantiate	row_key	exact_capability_tier	dataset_support	brmi_parse	stanc	family_adapter_control_scope	stan_code_sha256	family_audit_explicit_evidence	name_claim	formula_return	gradient_finite	sbpmx_pattern_provenance	family_adapter_landed_applies	family_metadata_claim	receipt_retrieved_at	key	deployed	family_audit_semantic_evidence	exact_translation_note	probe_evidence_kind	family_audit_decision_rationale	inferred_surface_support_class	dataset_receipt_urls	inferred_surface_secondary_gap	formula_claim	family_audit_authoritative_surface	inferred_family	inferred_capability_tier	row_index
confirmed	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax		confirmed		17	CatalogServer_default_unsubstantiated	1de46a383b6fd66d	gaussian	renderer-default-unsubstantiated; inference happens to agree			exact_text_present		6		authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	scripts/examples/bambi.jl	true			pass	escs			reachable-data-or-description	false		false	pass	gaussian			pass	loc ~ o + c + e + a + n\nlog(sigma) ~ 1\ndrugs ~ Normal(loc, sigma)	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922		text_offset=0; matched_terms=linear,multiple,regression; context_sha256=9e389253f340799c	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	The retrieved official/primary source contains the normalized claimed formula text.	inferred-from-description	ordinary_brm	family evidence remains indeterminate		2	-6.641951786101243	historical-semantics-unresolved	not-probed	d5765f001f2fc70f3bc4494a7e148397f8c428784a2b77e6433a717d0bc238c4	explicit_token_present			ready	39b640cdf7da4d26e676831930e1981e17c153ef1f450d2461f8b18345c28816	bambi		pass	bambi:escs	unresolved-family	name_or_key_present	pass	pass		ff360b57fddd06f6dd9d434abbdd4296a11c7feb900f03251789572d554a1bf4		Multiple Linear Regression	drugs ~ o + c + e + a + n	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.539495+00:00	escs	true		family is not explicit or defensibly inferred	direct		already-expressible-verbatim	https://ndownloader.figshare.com/files/28870722		drugs ~ o + c + e + a + n		gaussian	bridgestan-finite-density-gradient	1
confirmed	bs(...) arguments do not map mechanically to current s(...) semantics		confirmed		46	CatalogServer_default_unsubstantiated		gaussian	renderer-default-unsubstantiated; inference happens to agree			exact_text_present				no executable descriptor until translation is resolved	scripts/examples/bambi.jl	true			not-run	cherry_blossoms			reachable-data-or-description	false		false	not-run	gaussian			not-run		not-run	unresolved-family	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922		text_offset=2874; matched_terms=cherry_blossoms,doy,year; context_sha256=2f1fa945820e4fd9	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	The retrieved official/primary source contains the normalized claimed formula text.	inferred-from-description	ordinary_brm	family evidence remains indeterminate				historical-semantics-unresolved	not-probed		explicit_token_present			unsupported	f30a483595ba2cabe13f7833db6bc6b71bcdc9d50b4576d208b03ab621f08390	bambi		not-run	bambi:cherry_blossoms_explicit	unresolved-family	name_or_key_present	not-run	not-run				Regression Splines — Explicit Intercept	doy ~ bs(year, knots=iknots, intercept=True)	not-run	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.612484+00:00	cherry_blossoms_explicit	true		family is not explicit or defensibly inferred	not-probed		historical-semantics-unresolved	https://ndownloader.figshare.com/files/31072807		doy ~ bs(year, knots=iknots, intercept=True)		gaussian	unsupported	2
confirmed	bs(...) arguments do not map mechanically to current s(...) semantics		confirmed		63	CatalogServer_default_unsubstantiated		gaussian	renderer-default-unsubstantiated; inference happens to agree			exact_text_present				no executable descriptor until translation is resolved	scripts/examples/bambi.jl	true			not-run	cherry_blossoms			reachable-data-or-description	false		false	not-run	gaussian			not-run		not-run	unresolved-family	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922		text_offset=2874; matched_terms=cherry_blossoms,doy,year; context_sha256=2f1fa945820e4fd9	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	The retrieved official/primary source contains the normalized claimed formula text.	inferred-from-description	ordinary_brm	family evidence remains indeterminate				historical-semantics-unresolved	not-probed		explicit_token_present			unsupported	f30a483595ba2cabe13f7833db6bc6b71bcdc9d50b4576d208b03ab621f08390	bambi		not-run	bambi:cherry_blossoms_absorbed	unresolved-family	name_or_key_present	not-run	not-run				Regression Splines — Absorbed Intercept	doy ~ bs(year, knots=iknots)	not-run	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.612484+00:00	cherry_blossoms_absorbed	true		family is not explicit or defensibly inferred	not-probed		historical-semantics-unresolved	https://ndownloader.figshare.com/files/31072807		doy ~ bs(year, knots=iknots)		gaussian	unsupported	3
confirmed	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax		confirmed		92	CatalogServer_default_unsubstantiated	e633874c6aa03216	gaussian	renderer-default-unsubstantiated; inference happens to agree			exact_text_present		6		authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	scripts/examples/bambi.jl	true			pass	dietox			reachable-data-or-description	false		false	pass	gaussian			pass	loc ~ Time + (Time|Pig)\nlog(sigma) ~ 1\nWeight ~ Normal(loc, sigma)	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922		text_offset=32; matched_terms=hierarchical,linear,pig,regression; context_sha256=5c63a9b5d81f61bc	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	The retrieved official/primary source contains the normalized claimed formula text.	inferred-from-description	ordinary_brm	family evidence remains indeterminate		8	-8.317384082920588	historical-semantics-unresolved	not-probed	27e4a80934d5d43af7f04a3b599f2b919897ca4019f4f7b0359496c0561e0939	explicit_token_present			ready	81282bd4c28db9192948ad5647f670e82caff32ec8bb2a484d444c6f20914364	bambi		pass	bambi:dietox	unresolved-family	name_or_key_present	pass	pass		f775e281d2707ac0d685e8a2d1b7d54ea7cda287b076d970a2f47664c986580f		Hierarchical Linear Regression — Pig Growth	Weight ~ Time + (Time|Pig)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.571485+00:00	dietox	true		family is not explicit or defensibly inferred	direct		already-expressible-verbatim	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv		Weight ~ Time + (Time|Pig)		gaussian	bridgestan-finite-density-gradient	4
confirmed	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax		confirmed		121	CatalogServer_default_unsubstantiated	120c7abcf006cdf4	gaussian	renderer-default-unsubstantiated; inference happens to agree			exact_text_present		7		authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	scripts/examples/bambi.jl	true			pass	sleepstudy			reachable-data-or-description	false		false	pass	gaussian			pass	loc ~ 1 + Days + (Days | Subject)\nlog(sigma) ~ 1\nReaction ~ Normal(loc, sigma)	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922		text_offset=32; matched_terms=hierarchical,linear,regression,sleep,sleepstudy; context_sha256=f743de055d0c0408	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	The retrieved official/primary source contains the normalized claimed formula text.	inferred-from-description	ordinary_brm	family evidence remains indeterminate		10	-8.317384082920588	historical-semantics-unresolved	not-probed	1edfbb7abc19fd827115bbadf4019793a276980bcd69189649d239fdef65dca1	explicit_token_present			ready	ea98686a223bac28c7fca02e91b479047736565c0fa8e292204398d014a6af2d	bambi		pass	bambi:sleepstudy	unresolved-family	name_or_key_present	pass	pass		c234a305f43ff86987704aca7d99883449aaa5d29c4008f6084cd8a7f971e096		Hierarchical Linear Regression — Sleep Deprivation	Reaction ~ 1 + Days + (Days | Subject)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.611857+00:00	sleepstudy	true		family is not explicit or defensibly inferred	direct		already-expressible-verbatim	https://ndownloader.figshare.com/files/31181002		Reaction ~ 1 + Days + (Days | Subject)		gaussian	bridgestan-finite-density-gradient	5
confirmed	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax		confirmed		162	CatalogServer_default_unsubstantiated	e4fd4161c4711597	gaussian	renderer-default-unsubstantiated; inference happens to agree			exact_text_present		2		authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	scripts/examples/bambi.jl	true			pass	radon			reachable-data-or-description	false		false	pass	gaussian			pass	loc ~ 0 + floor\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922		text_offset=32; matched_terms=radon; context_sha256=6772ed23bfaf627b	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/radon_example.html	The retrieved official/primary source contains the normalized claimed formula text.	inferred-from-description	ordinary_brm	family evidence remains indeterminate		12	-7.817384082920588	historical-semantics-unresolved	not-probed	b4cfc1bb7bf164c423983db7d9c6e06c3cb16637504e3ccdb2272f878f01ec16	explicit_token_present			ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi		pass	bambi:radon_pooled	unresolved-family	name_or_key_present	pass	pass		4b52b2624b2d878fbaeec21e188814f8b4167035882458058ee22a3aa2c76e02		Radon — Complete Pooling	log_radon ~ 0 + floor	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.610088+00:00	radon_pooled	true		family is not explicit or defensibly inferred	direct		already-expressible-verbatim	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat		log_radon ~ 0 + floor		gaussian	bridgestan-finite-density-gradient	6
confirmed	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax		confirmed		178	CatalogServer_default_unsubstantiated	f66156a0512117f2	gaussian	renderer-default-unsubstantiated; inference happens to agree			exact_text_present		2		authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	scripts/examples/bambi.jl	true			pass	radon			reachable-data-or-description	false		false	pass	gaussian			pass	loc ~ 0 + county & floor\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922		text_offset=1902; matched_terms=county,pooling; context_sha256=be17a1919e3ed9e4	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/radon_example.html	The retrieved official/primary source contains the normalized claimed formula text.	inferred-from-description	ordinary_brm	family evidence remains indeterminate		14	-3.8069883206128132	historical-semantics-unresolved	not-probed	e8700a3971454ddc27dc5401bae43dd07efed661be6906bf15034826c8a1aade	explicit_token_present			ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi		pass	bambi:radon_nopooling	unresolved-family	name_or_key_present	pass	pass		8f2a37ee2fbc509c892f978aaeb523dae01ae78fa45585cff61a59d0aa8083e3		Radon — No Pooling	log_radon ~ 0 + county:floor	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.610088+00:00	radon_nopooling	true		family is not explicit or defensibly inferred	direct		already-expressible-via-semantic-rewrite	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat		log_radon ~ 0 + county:floor		gaussian	bridgestan-finite-density-gradient	7
confirmed	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax		confirmed		194	CatalogServer_default_unsubstantiated	028bfd95057ed5a1	gaussian	renderer-default-unsubstantiated; inference happens to agree			exact_text_present		6		authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	scripts/examples/bambi.jl	true			pass	radon			reachable-data-or-description	false		false	pass	gaussian			pass	loc ~ 1 + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922		text_offset=1902; matched_terms=county,intercept,partial,pooling; context_sha256=be17a1919e3ed9e4	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/radon_example.html	The retrieved official/primary source contains the normalized claimed formula text.	inferred-from-description	ordinary_brm	family evidence remains indeterminate		16	-8.47744637392999	historical-semantics-unresolved	not-probed	9c7f9604748a5de7aab16c2849dab2949f58bf3350e0708aca7e26c546f8b58d	explicit_token_present			ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi		pass	bambi:radon_partial	unresolved-family	name_or_key_present	pass	pass		cdd785639a1743ba8874e60815beee900005ed1abd97bcfb4c5ac68109f53c45		Radon — Partial Pooling (Intercept Only)	log_radon ~ 1 + (1|county)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.610088+00:00	radon_partial	true		family is not explicit or defensibly inferred	direct		already-expressible-verbatim	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat		log_radon ~ 1 + (1|county)		gaussian	bridgestan-finite-density-gradient	8
adapted-but-defensible	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax		adapted-but-defensible		209	CatalogServer_default_unsubstantiated	b56724233a9c414d	gaussian	renderer-default-unsubstantiated; inference happens to agree			partial_semantic_terms:3/3		7		authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	scripts/examples/bambi.jl	true			pass	radon			reachable-data-or-description	false		true	pass	gaussian			pass	loc ~ 1 + floor + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922	If source-literal reproduction is required, use log_radon ~ 0 + floor + (1 | county).	radon_example: source model block containing log_radon, 0 + floor, and county random intercept	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/radon_example.html	The cited model uses cell-means coding (0 + floor) while the catalog uses intercept-plus-contrast coding (1 + floor); for binary floor these span the same fixed-effect column space.	inferred-from-description	ordinary_brm	family evidence remains indeterminate		18	-7.817384082920588	historical-semantics-unresolved	not-probed	6a3fb93de56743080df55bbaf2cf1642fb8e0b4b60d31e23b75f514054501aed	explicit_token_present			ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi		pass	bambi:radon_floor	unresolved-family	name_or_key_present	pass	pass		0c00e69534d1b1dd58cb916ff105e14b96410f43e992baa7d897beba2ca07037		Radon — Partial Pooling with Floor	log_radon ~ 1 + floor + (1|county)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.610088+00:00	radon_floor	true		family is not explicit or defensibly inferred	direct		already-expressible-verbatim	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat		log_radon ~ 1 + floor + (1|county)		gaussian	bridgestan-finite-density-gradient	9
adapted-but-defensible	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax		adapted-but-defensible		224	CatalogServer_default_unsubstantiated	78f4dc75e92b683c	gaussian	renderer-default-unsubstantiated; inference happens to agree			partial_semantic_terms:3/3		6		authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	scripts/examples/bambi.jl	true			pass	radon			reachable-data-or-description	false		true	pass	gaussian			pass	loc ~ floor + (floor|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	05c3f465e7987e8d7caa7e214fedddd90415a922	For literal provenance use log_radon ~ 0 + floor + (0 + floor | county).	radon_example: varying-slopes model block with 0 + floor in fixed and county terms	direct population/likelihood route when the family and terms are supported	200	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome	not-run	https://bambinos.github.io/bambi/notebooks/radon_example.html	The source uses floor cell means in both fixed and county-varying terms; the catalog uses intercept/slope coding. With a full correlated two-dimensional county effect this is an invertible reparameterization, although priors are not invariant.	inferred-from-description	ordinary_brm	family evidence remains indeterminate		20	-8.317384082920588	historical-semantics-unresolved	not-probed	d7f695d0ab8330e5d645a8f497e7c496fdb9c0bb4f31491d272a6f1be19d623f	explicit_token_present			ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi		pass	bambi:radon_slopes	unresolved-family	name_or_key_present	pass	pass		9cff9b063dd3f71b0e58587a853214b559815aeeac3d7787cb22445dbc3e071a		Radon — Varying Slopes	log_radon ~ floor + (floor|county)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl	false		2026-07-28T21:07:08.610088+00:00	radon_slopes	true		family is not explicit or defensibly inferred	direct		already-expressible-verbatim	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat		log_radon ~ floor + (floor|county)		gaussian	bridgestan-finite-density-gradient	10
