feature	current_translator_claim	classification	current_source_evidence	current_test_example	effect_on_translation	affected_row_keys_or_rule	probe_command	probe_result
linked distributional predictors	formula is not one top-level response formula; nonlinear parameter formulas need explicit design	already-expressible-via-semantic-rewrite	src/macro.jl:7-27 documents multiple ~ lines; src/sbimpl.jl:2064-2085 implements linked LHS transforms	web-macro/examples/0.9-distributional.jl:5-7; test/probe_v2_lp_arg.jl:106-120,146-188	Rewrite bf auxiliary equations as named linked predictors plus explicit likelihood; do not reject multiple equations	bambi:distributional_var_alpha,bambi:distributional_bikes,bambi:plot_pred_distr; translate.jl:212-234,293-316	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl linked_distributional_multiresp	built=true;transpiles=true;stanc=true
independent multivariate outcomes	multivariate response declaration; joint/multivariate bf declarations require structured design	already-expressible-via-semantic-rewrite	src/macro.jl:16-27 explicitly says multiple ~ lines produce multi-response models	test/generative_plan.jl:11-30 verifies two observations and stanc; web-macro/examples/3.1-multivariate-outcomes-cbind-y1-y2.jl:5-7	Expand mvbind/cbind outcomes into one likelihood line per response when residual independence is authoritative	translate.jl:215-219,298-311; unresolved-family multivariate rows including mcelreath:waffle_divorce_multivariate	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl linked_distributional_multiresp	four equations/two responses built=true;transpiles=true;stanc=true
multi-output custom joint model	multiple component formulas require an explicit joint declaration	already-expressible-via-semantic-rewrite	src/sbimpl.jl:1690-1858 implements kernel do-block lowering; src/descriptor.jl:92-99 recognizes group-block outputs	test/kernel_term.jl:143-169,286-302 multi-output kernel transpile/stanc; test/descriptor.jl:193-269 descriptor/fit	Route bespoke joint equations through kernel do-block instead of marking substrate absent	mcmcglmm:plodia_iid,mcmcglmm:btdata_iid,mcmcglmm:chickweight_rslope and other multiple-component note rows	BRM_KERNEL_RUNTIME=0 julia --project=. test/kernel_term.jl	multi-output test 4/4 pass; full file 23/23 non-runtime assertions pass
correlated-residual multivariate likelihood	multivariate response declaration	genuinely-missing-brm-surface	src/sbimpl.jl:3614-3639 family table has no multivariate Normal/Cholesky likelihood entry	web-macro/examples/3.1-multivariate-outcomes-cbind-y1-y2.jl:1-7 labels correlated case as needing MvNormal	Do not translate set_rescor(true) or residual covariance as independent Normals; custom StanBlocks model is required	translate.jl:298-311; mcmcglmm:btdata_bivariate,mcmcglmm:pbcseq_bivariate and correlated multivariate historical rows	rg -n 'MvNormal|multi_normal' src test web-macro/examples	no stock BRM multivariate likelihood surface found
ragged masked multi-output cell	joint/multivariate design required	genuinely-missing-stanblocks-substrate	src/sbimpl.jl:1690-1858 exposes kernel cells but delegates cell lowering to StanBlocks	test/kernel_term.jl:143-149 states native ragged vector masking/indexing is not lowered; test/kernel_term.jl:151-169 uses separate whole columns instead	Preserve as substrate gap when historical semantics require within-cell outcome masks rather than separate ragged columns	structured multi-output/PK-PD rule; no single current translations.tsv key	BRM_KERNEL_RUNTIME=0 julia --project=. test/kernel_term.jl	separate-column multi-output passes; source test documents masked form as unavailable
multi-membership random effects mm	multi-membership term has no current emitter	genuinely-missing-brm-surface	src/BayesianRegressionModels.jl:45-49 exports group terms but not mm; src/sbimpl.jl:2496-2511 accepts only NamedColumn or gr on group RHS	web-macro/examples/2.6-multi-membership-random-effects-mm.jl:1-6 is deprioritized; web-macro/examples/sb.6-submodels-mo-mm.jl:1-8 contains no mm implementation	Keep unsupported at ordinary BRM level; a bespoke plate/kernel weighted group effect is possible	burkner_papers:multi_member_equal,burkner_papers:multi_member_weighted; translate.jl:306	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl multi_membership_mm	raised UndefVarError: mm not defined
known response standard error/meta-analysis	weighted/error-aware response	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3580-3594 lowers per-row distribution arguments; src/sbimpl.jl:3668-3687 reduces data-backed scale expressions	web-macro/examples/2.7-se-weights-for-meta-analysis-and-weighted-regression.jl:1-7 says known SE is a different distribution and records all stages passing	Rewrite y|se(s) as y ~ Normal(mu,s), or combine known SE with residual sigma explicitly when required	epidist:delay_naive,epidist:delay_marginal; translate.jl:302	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl meta_known_se_rewrite	built=true;transpiles=true;stanc=true
fractional likelihood weights	weighted/error-aware response	genuinely-missing-brm-surface	src/macro.jl:11-24 accepts ordinary sampling statements but defines no response-weight modifier; src/sbimpl.jl:3580-3594 emits unweighted ~	web-macro/examples/2.7-se-weights-for-meta-analysis-and-weighted-regression.jl:1-7 only demonstrates scale/SE, not weighted log density	Do not conflate weights with known SE; exact power-likelihood weighting needs a custom density/kernel extension	epidist:delay_naive,epidist:delay_marginal when formula uses weights(); translate.jl:302	rg -n 'weights|weighted' src test web-macro/examples/2.7-se-weights-for-meta-analysis-and-weighted-regression.jl	no BRM weight modifier/emitter; example is Normal scale rewrite only
predictor measurement error with constant SD	measurement-error submodel	already-expressible-verbatim	src/sbimpl.jl:16-24 declares me; src/sbimpl.jl:3279-3300 emits latent predictor and observation likelihood	web-macro/examples/3.2-inferred-predictors-measurement-error-me.jl:1-7 records all stages passing	Remove blanket me block; preserve me(x, numeric_constant) exactly	translate.jl:301; unresolved-family rows bambi:nhanes_error,mcelreath:waffle_divorce_meas_err,burkner_papers:indiv_diff_me	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl measurement_error_me	built=true;transpiles=true;stanc=true
predictor measurement error with row-varying SD or non-Normal model	measurement-error submodel	genuinely-missing-brm-surface	src/sbimpl.jl:3279-3293 explicitly requires positive numeric constant SD	docs/src/plate-building-blocks.md:386-400 shows substrate pattern and calls broader calibration/non-Normal forms generalizations	Translate only constant-SD Gaussian me verbatim; route richer forms to custom plate/kernel	translate.jl:301 and any me(x,se_column) historical formula	rg -n 'sd_real|numeric constant' src/sbimpl.jl	source guard rejects non-constant SD
one-dimensional thin-plate smooth s(x)	term has no semantics-preserving alias / bs ambiguity	already-expressible-verbatim	src/sbimpl.jl:3301-3325 implements default rank-10 penalized thin-plate spline	web-macro/examples/3.6-splines-gp-submodels-s-bs-gp-t2.jl:1-7 records all stages passing for s(a)	Preserve native s(x); do not blanket-class smooths as missing	translate.jl:243-250; unresolved-family rent99_spline and other s() rows	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl spline_s	built=true;transpiles=true;stanc=true
bs arguments/knots/basis identity	bs(...) arguments do not map mechanically to current s(...) semantics	historical-semantics-unresolved	src/sbimpl.jl:3301-3310 states only default s(x), no kwargs; exact B-spline basis is not the shipped thin-plate basis	web-macro/examples/3.6-splines-gp-submodels-s-bs-gp-t2.jl:1-7 exercises only s(a)	Keep exact bs translations unresolved unless basis/knots can be recovered; s is not an automatic equivalent	bambi:cherry_blossoms_explicit,bambi:cherry_blossoms_absorbed,bambi:quantile_p10,bambi:quantile_p50,bambi:quantile_p90,bambi:quantile_gaussian,bambi:survival_disc_spline	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl spline_s	s(x) passes, but source rejects s kwargs and implements different basis semantics
tensor-product/te/t2/dynamic smooths	term has no semantics-preserving mechanical alias	genuinely-missing-brm-surface	src/sbimpl.jl:3301-3307 explicitly lists bs and t2 as follow-ons	docs/src/plate-building-blocks.md:457-474 describes how grouped/tensor bases can live on plate substrate	Keep missing at stock BRM term surface; do not call this a StanBlocks substrate absence	translate.jl:305; bambi/kruschke/burkner term-has-no-alias rows	rg -n 't2|te\(' src test	no native t2/te emitter found
one-dimensional HSGP gp(x;k,c)	multi-axis/multi-argument hsgp does not map to current one-input gp(...)	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3327-3377 implements one-input HSGP with k/c; src/macro.jl:111-119 documents it	web-macro/examples/0.16-gp-hsgp.jl:5-6 and 2.8-hsgp-gp-term.jl:5-6	Rewrite hsgp(x,m=K,c=C) to gp(x;k=K,c=C) after option review	bambi:hsgp_1d_basic,bambi:hsgp_1d_centered,bambi:hsgp_1d_nocov; translate.jl:245-250	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl hsgp_gp	built=true;transpiles=true;stanc=true
grouped HSGP gp(x;by=g)	hsgp options require gp semantic redesign	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3341-3365 and 3380-3393 implement grouped basis-weight blocks	test/probe_v2_lp_arg.jl:135-143 asserts gp(weight;by=subject) stays live; test/probe_v2_lp_arg.jl:177-188 stanc	Map compatible hsgp by-group spelling to gp(x;by=g); still review share_cov/centered semantics	bambi:hsgp_1d_by_group plus grouped HSGP rows; translate.jl:247-250	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl grouped_hsgp	built=true;transpiles=true;stanc=true
multi-axis/anisotropic HSGP	multi-axis/multi-argument hsgp does not map to current one-input gp(...)	genuinely-missing-brm-surface	src/sbimpl.jl:3333-3339 requires exactly one positional input	web-macro/examples/2.8-hsgp-gp-term.jl:5-6 only exercises 1D	Keep 2D/anisotropic rows unsupported at native term level; custom basis/kernel can use substrate	bambi:hsgp_2d_iso,bambi:hsgp_2d_by_group,bambi:hsgp_2d_nocov,bambi:hsgp_2d_aniso,bambi:hsgp_2d_poisson	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl hsgp_multi_axis	raised expects 1 positional arg, got 2
binary raw-column interactions	current & interactions require raw columns; translator assumes restricted combinations	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3128-3157 documents &: continuous-continuous, continuous-categorical, categorical-categorical; src/sbimpl.jl:3158-3222 implements all three	web-macro/examples/2.1-interactions-a-b-a-b.jl:6-7; 2.1b-interactions-cont-cat.jl:7-8; 2.1c-interactions-cat-cat.jl:7-8	Rewrite source : to binary & and source binary * to main effects plus &	translate.jl:162-176,241-242; ordinary binary interaction rows	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl interaction_cont_cat	built=true;transpiles=true;stanc=true
three-way/chained interactions	three-way/chained `*` expansion cannot be represented by current binary raw-column `&`	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3150-3191 limits native interaction operands to two raw columns but generic derived numeric columns are supported	web-macro/examples/2.1-interactions-a-b-a-b.jl:1-7 only demonstrates binary	Precompute the required product/contrast design columns, then include them as ordinary predictors; exact factor contrast expansion must be specified	bambi:shooter_rate_simple,bambi:shooter_rate_target,bambi:shooter_binary,bambi:plot_comp_logistic	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl three_way_native three_way_derived_rewrite	native chained & raises; derived xyz rewrite built/transpiled/stanc=true
transformed interaction operands	current `&` interactions require raw columns; transformed/non-atomic `*` operands need a data-derivation step; source `:` interaction has a transformed/non-atomic operand; current `&` accepts raw columns only	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3167-3191 requires raw operands; src/sbimpl.jl:3444-3473 materializes arbitrary raw-data expressions as predictors	web-macro/examples/1.3-i-expr-likely-already-works.jl:5 demonstrates protected expressions; interaction examples are raw only	Prederive transformed interaction columns; do not label the model semantically impossible	bambi:plot_pred_logistic,bambi:poly_planets; translate.jl:169-172,241-242	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl three_way_derived_rewrite	derived interaction column built=true;transpiles=true;stanc=true
nested/composite grouping factors	nested/composite grouping factors require an explicit derived group id or reviewed gr(...; by=...) design	already-expressible-via-semantic-rewrite	src/sbimpl.jl:2496-2539 accepts a single group descriptor and correlation IDs; integer group columns are native	test/generative_plan.jl:117-127 verifies random effects and stanc	Derive a stable integer composite ID for a:b or a/b, expanding nesting into component effects when source semantics require it	bambi:mister_p,kruschke:batting_average,kruschke:salary_anova,kruschke:splitplot_field,kruschke:splitplot_nofield,kruschke:haireye_poisson,kruschke:haireye_binomial,rstanarm:weightgain_re,lme4:pastes_nested,mixed_models_jl:pastes_nested	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl composite_group_derived_rewrite	built=true;transpiles=true;stanc=true
gr by/id structured IID covariance	structured covariance gr is blocked	already-expressible-verbatim	src/sbimpl.jl:2485-2539 implements gr(g;by=) and gr(g;id=)/|ID| buckets	test/probe_prediction_modes.jl:232-237 builds gr(subject,by=stratum); test/ranef_cv_centered.jl:248-272 tests explicit limitations	Remove blanket gr block; distinguish implemented stratified/correlation-ID grouping from fcor/phylo	translate.jl:304; formulas using gr(...;by=...) or gr(...;id=...)	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl gr_by	built=true;transpiles=true;stanc=true
nonlinear parameter formulas	multi-formula/nonlinear brms declaration	already-expressible-via-semantic-rewrite	src/macro.jl:16-27 permits multiple linked declarations; src/sbimpl.jl:1690-1858 supports inline nonlinear kernel cells	test/kernel_term.jl:85-96 defines nonlinear PK formula; test/kernel_term.jl:218-233 passes transpile/stanc	Translate named nonlinear parameters to linked predictors and put nonlinear observation map in explicit expressions or kernel do-block	brms:nonlinear_loss,mcelreath:howell1_nl,mcelreath:howell1_volume,mcelreath:hetero and remaining multi-formula/nonlinear note rows	BRM_KERNEL_RUNTIME=0 julia --project=. test/kernel_term.jl	bare-local nonlinear kernel 4/4 pass; full non-runtime suite 23/23 pass
response-side Normal imputation mi(y)	missing-value submodel	already-expressible-verbatim	src/macro.jl:159-167 declares mi; src/sbimpl.jl:2088-2189 implements observed/missing split and merged response for Normal	docs/src/plate-building-blocks.md:438-455; no standalone repo test, live audit probe covers stanc	Remove blanket mi block for Normal response LHS with actual missing values	translate.jl:300; unresolved-family bambi:nhanes_imputed,bambi:nhanes_joint,mcelreath:milk_mi,mcelreath:lynx_hare_mi	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl response_mi_normal	built=true;transpiles=true;stanc=true
predictor-side imputation mi(x)	missing-value submodel	genuinely-missing-brm-surface	src/sbimpl.jl:2107-2110 explicitly says predictor-side mi is not drafted	docs/src/plate-building-blocks.md:438-455 describes substrate-level merge pattern	Keep predictor mi unsupported or require explicit latent predictor/measurement-model rewrite	translate.jl:300; predictor-mi historical rows	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl predictor_mi	raised missing-data guard directing only response LHS to mi
non-Normal response imputation	missing-value submodel	genuinely-missing-brm-surface	src/sbimpl.jl:2107-2146 lists only Normal in _SB_MI_FAMILIES	docs/src/plate-building-blocks.md:454-455 says Poisson/binomial/ordinal/custom generation is future/generalized work	Translate only Normal mi verbatim; custom plate may express other families	translate.jl:300; any non-Normal mi response row	rg -n '_SB_MI_FAMILIES|Currently supported' src/sbimpl.jl	only Normal => _sb_mi_normal is registered
truncated/censored likelihood via custom kernel	censored/truncated response	already-expressible-via-semantic-rewrite	src/sbimpl.jl:3736-3750 implements TruncatedNormal special path; kernel accepts custom in-cell densities	test/kernel_term.jl:99-122 defines exact truncated_normal; test/kernel_term.jl:246-252 passes transpile/stanc	Rewrite supported censor/truncation likelihoods into explicit custom kernel density when observation semantics are known	bambi:survival_intercept,bambi:survival_color,bambi:survival_cont_weibull,bambi:survival_cont_retention_fe,bambi:survival_cont_retention_re,burkner_papers:epilepsy_trunc,burkner_papers:kidney	BRM_KERNEL_RUNTIME=0 julia --project=. test/kernel_term.jl	truncated-normal exact signature 3/3 pass including stanc
generic cens/trunc response modifier	censored/truncated response	genuinely-missing-brm-surface	src/sbimpl.jl:2070-2073 calls cens/trunc future overrides; src/sbimpl.jl:3736-3750 is model-specific rather than generic	web-macro examples have no generic cens/trunc modifier; test/kernel_term.jl:99-122 uses explicit density	Do not emit cens()/trunc() verbatim; route exact known families to custom kernel and leave unrecovered censor codes unresolved	same seven censored/truncated unsupported rows; translate.jl:303	rg -n 'future `cens`|typeof\(cens\)|typeof\(trunc\)' src/sbimpl.jl	only future-comment/model-specific path; no generic modifier method
categorical predictors and their interactions	term has no alias / categorical ambiguity	already-expressible-verbatim	src/sbimpl.jl:2380-2451 treatment-codes integer/categorical predictors; src/sbimpl.jl:3150-3218 supports categorical interactions	web-macro/examples/0.4-categorical.jl:5-7; 2.1b-interactions-cont-cat.jl:7-8; 2.1c-interactions-cat-cat.jl:7-8	Preserve integer-coded categorical predictors; do not confuse predictor support with categorical outcome family	predictor-side categorical rows and translate.jl interaction rules	julia --project=. /tmp/kb-agent-scratch.family-audit.MqMSxy/surface_probe.jl interaction_cont_cat	integer categorical interaction built=true;transpiles=true;stanc=true
