row_key	recovered_family	evidence_class	evidence_strength	authoritative_surface	authoritative_revision	authoritative_path_anchor	retrieved_at_utc	http_status	explicit_evidence	semantic_evidence	dataset_evidence	negative_evidence	decision_rationale
brms:cbpp_beta_binomial	beta_binomial	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_customfamilies.Rmd:196-201; BRM:scripts/examples/brms.jl:32-38; BRM:scripts/examples/brms.jl:32 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact fit2 call passes family = beta_binomial2; the vignette defines this custom family and uses vint(size).	This is a beta-binomial count model with an overdispersion parameter phi, not an ordinary binomial inferred from trials.	Frozen loader URL returned HTTP 200: cbpp has 56 rows and columns rownames,herd,incidence,size,period; first record is herd=1, incidence=2, size=14, period=1.	No contradictory family evidence found; dataset is supporting evidence only.	Exact authoritative call and custom-family object recover beta_binomial2 directly.
brms:distreg_normal	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_distreg.Rmd:93-99; BRM:scripts/examples/brms.jl:102-107; BRM:scripts/examples/brms.jl:102 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact authoritative brm call passes family = gaussian().	The distributional formula models mu and sigma of a normal response; smooth or group terms do not alter the family.	Frozen synthetic loader creates 100 rows with numeric symptom_post and group strings from {0,1}.	No contradictory family evidence found.	Family is an explicit argument on the exact authoritative call.
brms:distreg_gam	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_distreg.Rmd:236-247; BRM:scripts/examples/brms.jl:148-153; BRM:scripts/examples/brms.jl:148 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact authoritative brm call passes family = gaussian().	The distributional formula models mu and sigma of a normal response; smooth or group terms do not alter the family.	Frozen synthetic loader creates 200 rows with numeric y,x0,x1,x2 and four-level string fac; y is generated with Gaussian randn noise and varying sigma.	No contradictory family evidence found.	Family is an explicit argument on the exact authoritative call.
brms:nhanes_imputed	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; CRAN mice package; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; mice 3.19.0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_missings.Rmd:74-94; brms:R/brm_multiple.R:78; BRM:scripts/examples/brms.jl:176-181; BRM:scripts/examples/brms.jl:176 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact call is brm_multiple(bmi ~ age*chl, data=imp, chains=2) and omits family; brms R/brm_multiple.R:78 declares brm_multiple(formula, data, family = gaussian()); the exact vignette call omits family.	Multiple imputation changes data handling, not the continuous-response likelihood.	Package-owned mice::nhanes is 25x4 with age,bmi,hyp,chl; first row is age=1 with bmi,hyp,chl missing; missing counts are 0,9,8,10.	Frozen Rdatasets URL https://vincentarelbundock.github.io/Rdatasets/csv/mice/nhanes.csv returned HTTP 404 and is absent at current Rdatasets revision; package data, not that broken loader, supplied schema support.	The exact call's documented family default explicitly recovers gaussian.
brms:nhanes_joint	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; CRAN mice package; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; mice 3.19.0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_missings.Rmd:160-176; brms:R/brm.R:449; BRM:scripts/examples/brms.jl:192-197; BRM:scripts/examples/brms.jl:192 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact bform is passed to brm(bform,data=nhanes) with no family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	Both continuous responses bmi and chl therefore use Gaussian submodels; mi() marks missing-value treatment and set_rescor(FALSE) controls residual correlation only.	mice::nhanes is 25x4 (age,bmi,hyp,chl), with bmi and chl numeric and 9 and 10 missing values respectively.	Frozen Rdatasets loader URL returned HTTP 404; no discrete-family evidence appears in the exact call.	Exact call plus explicit brm default recover Gaussian response families.
brms:nhanes_error	gaussian	defensible-semantic-inference	medium-high	https://github.com/paul-buerkner/brms; CRAN mice package; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; mice 3.19.0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_missings.Rmd:206-224; brms:R/brm.R:449; BRM:scripts/examples/brms.jl:208-213; BRM:scripts/examples/brms.jl:208 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The authoritative measurement-error analogue creates nhanes$se, uses bf(chl | mi(se) ~ age), and calls brm without family; brm's explicit default is gaussian().	Renaming the known-SE column from se to se_chl does not change the likelihood family, but the frozen row does not create se_chl, so family recovery is semantic rather than an exact-call recovery.	mice::nhanes is 25x4 and has no se or se_chl column; bmi and chl are numeric continuous variables.	The frozen loader URL is HTTP 404; the frozen loader never adds se_chl, while the source adds se via rexp. Thus the frozen card is not executable as written.	Gaussian is strongly supported by the exact authoritative analogue and API default, but source/data drift prevents classing the row as an exact recovery.
brms:income_mo	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_monotonic.Rmd:92; brms:R/brm.R:449; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:252 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact brm call omits family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	mo(), factor coding, interactions, and group-level slopes change the predictor structure, not the response family.	Frozen synthetic loader makes 200 rows; ls is numeric and generated as income_num + 0.4*age + randn noise; income has four labels, income_num is 1-4, age and city are strings.	The frozen synthetic data differ in size/coding from the vignette's 100-row simulation, but both have continuous ls; no contradictory family evidence found.	The exact call and explicit brm API default recover gaussian.
brms:income_num	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_monotonic.Rmd:111-113; brms:R/brm.R:449; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:268 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact brm call omits family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	mo(), factor coding, interactions, and group-level slopes change the predictor structure, not the response family.	Frozen synthetic loader makes 200 rows; ls is numeric and generated as income_num + 0.4*age + randn noise; income has four labels, income_num is 1-4, age and city are strings.	The frozen synthetic data differ in size/coding from the vignette's 100-row simulation, but both have continuous ls; no contradictory family evidence found.	The exact call and explicit brm API default recover gaussian.
brms:income_nominal	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_monotonic.Rmd:121-124; brms:R/brm.R:449; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:283 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact brm call omits family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	mo(), factor coding, interactions, and group-level slopes change the predictor structure, not the response family.	Frozen synthetic loader makes 200 rows; ls is numeric and generated as income_num + 0.4*age + randn noise; income has four labels, income_num is 1-4, age and city are strings.	The frozen synthetic data differ in size/coding from the vignette's 100-row simulation, but both have continuous ls; no contradictory family evidence found.	The exact call and explicit brm API default recover gaussian.
brms:income_mo_age	gaussian	explicit-family-recovery	high	https://github.com/paul-buerkner/brms; local git object for BayesianRegressionModels.jl frozen revision	brms c48ec5fd973e365ec1352f631887b9994380d0c0; BRM 05c3f465e7987e8d7caa7e214fedddd90415a922	brms:vignettes/brms_monotonic.Rmd:198-200; brms:R/brm.R:449; BRM:scripts/examples/brms.jl; BRM:scripts/examples/brms.jl:298 @ 05c3f465e7987e8d7caa7e214fedddd90415a922	2026-07-28T23:01:07Z	200	The exact brm call omits family; brms R/brm.R:449 declares brm(formula, data, family = gaussian()); this explicit API default is applied only where the cited exact brm call omits family.	mo(), factor coding, interactions, and group-level slopes change the predictor structure, not the response family.	Frozen synthetic loader makes 200 rows; ls is numeric and generated as income_num + 0.4*age + randn noise; income has four labels, income_num is 1-4, age and city are strings.	The frozen synthetic data differ in size/coding from the vignette's 100-row simulation, but both have continuous ls; no contradictory family evidence found.	The exact call and explicit brm API default recover gaussian.
