source_fidelity_first_pass	warmuphmc	inferred_translation_note	row_source_claim	source_fidelity_reason	source_fidelity_verdict	inferred_family_provenance	semantic_route	source_line	renderer_family_provenance	probe_id	probe_evidence_from_row	renderer_family_claim	family_discrepancy	log_density	formula_support	exact_evidence_kind	stan_data_sha256	family_support	dimension	failure_stage	failure_evidence	exact_probe_id	descriptor_mount_contract	inferred_translation_status	receipt_body_sha256	source	source_path	formula_claim_matches_return	row_key	bridgestan_instantiate	brmi_eval	dataset_claim	exact_current_brm_body	exact_capability_tier	warmuphmc_draws	dataset_support	dataset_receipt_statuses	brmi_parse	data_only_citation	stanc	source_fidelity_manual_reviewed	stan_transpile	stan_code_sha256	family_description_claim	name_claim	formula_return	gradient_finite	sbpmx_pattern_provenance	family_metadata_claim	receipt_retrieved_at	key	deployed	inferred_current_brm_body	descriptor	exact_translation_note	probe_evidence_kind	sbbrmi_lower	exact_translation_status	receipt_final_url	sbpmx_semantic_pattern	citation_authority_class	dataset_receipt_urls	historical_sha	formula_claim	source_correction_with_evidence	inferred_family	receipt_evidence_anchor	semantic_route_note	receipt_http_status	inferred_capability_tier	row_index	data_shape_assumptions
confirmed	not-run	explicit Normal likelihood; residual scale estimated on log scale	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	The retrieved official/primary source contains the normalized claimed formula text.	confirmed	inferred-from-description	ordinary_brm	17	CatalogServer_default_unsubstantiated	1de46a383b6fd66d	2	gaussian	renderer-default-unsubstantiated; inference happens to agree	-6.641951786101243	exact_text_present	not-probed	d5765f001f2fc70f3bc4494a7e148397f8c428784a2b77e6433a717d0bc238c4	explicit_token_present	6				authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	ready	39b640cdf7da4d26e676831930e1981e17c153ef1f450d2461f8b18345c28816	bambi	scripts/examples/bambi.jl	true	bambi:escs	pass	pass	escs		unresolved-family		name_or_key_present	reachable-data-or-description	pass	false	pass	false	pass	ff360b57fddd06f6dd9d434abbdd4296a11c7feb900f03251789572d554a1bf4	gaussian	Multiple Linear Regression	drugs ~ o + c + e + a + n	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.539495+00:00	escs	true	loc ~ o + c + e + a + n\nlog(sigma) ~ 1\ndrugs ~ Normal(loc, sigma)	pass	family is not explicit or defensibly inferred	direct	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://ndownloader.figshare.com/files/28870722	05c3f465e7987e8d7caa7e214fedddd90415a922	drugs ~ o + c + e + a + n		gaussian	text_offset=0; matched_terms=linear,multiple,regression; context_sha256=9e389253f340799c	direct population/likelihood route when the family and terms are supported	200	bridgestan-finite-density-gradient	1	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
confirmed	not-run	bs(...) arguments do not map mechanically to current s(...) semantics	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	The retrieved official/primary source contains the normalized claimed formula text.	confirmed	inferred-from-description	ordinary_brm	46	CatalogServer_default_unsubstantiated			gaussian	renderer-default-unsubstantiated; inference happens to agree		exact_text_present	not-probed		explicit_token_present					no executable descriptor until translation is resolved	unsupported	f30a483595ba2cabe13f7833db6bc6b71bcdc9d50b4576d208b03ab621f08390	bambi	scripts/examples/bambi.jl	true	bambi:cherry_blossoms_explicit	not-run	not-run	cherry_blossoms		unresolved-family		name_or_key_present	reachable-data-or-description	not-run	false	not-run	false	not-run		gaussian	Regression Splines — Explicit Intercept	doy ~ bs(year, knots=iknots, intercept=True)	not-run	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.612484+00:00	cherry_blossoms_explicit	true		not-run	family is not explicit or defensibly inferred	not-probed	not-run	unresolved-family	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://ndownloader.figshare.com/files/31072807	05c3f465e7987e8d7caa7e214fedddd90415a922	doy ~ bs(year, knots=iknots, intercept=True)		gaussian	text_offset=2874; matched_terms=cherry_blossoms,doy,year; context_sha256=2f1fa945820e4fd9	direct population/likelihood route when the family and terms are supported	200	unsupported	2	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
confirmed	not-run	bs(...) arguments do not map mechanically to current s(...) semantics	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	The retrieved official/primary source contains the normalized claimed formula text.	confirmed	inferred-from-description	ordinary_brm	63	CatalogServer_default_unsubstantiated			gaussian	renderer-default-unsubstantiated; inference happens to agree		exact_text_present	not-probed		explicit_token_present					no executable descriptor until translation is resolved	unsupported	f30a483595ba2cabe13f7833db6bc6b71bcdc9d50b4576d208b03ab621f08390	bambi	scripts/examples/bambi.jl	true	bambi:cherry_blossoms_absorbed	not-run	not-run	cherry_blossoms		unresolved-family		name_or_key_present	reachable-data-or-description	not-run	false	not-run	false	not-run		gaussian	Regression Splines — Absorbed Intercept	doy ~ bs(year, knots=iknots)	not-run	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.612484+00:00	cherry_blossoms_absorbed	true		not-run	family is not explicit or defensibly inferred	not-probed	not-run	unresolved-family	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://ndownloader.figshare.com/files/31072807	05c3f465e7987e8d7caa7e214fedddd90415a922	doy ~ bs(year, knots=iknots)		gaussian	text_offset=2874; matched_terms=cherry_blossoms,doy,year; context_sha256=2f1fa945820e4fd9	direct population/likelihood route when the family and terms are supported	200	unsupported	3	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
confirmed	not-run	explicit Normal likelihood; residual scale estimated on log scale	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	The retrieved official/primary source contains the normalized claimed formula text.	confirmed	inferred-from-description	ordinary_brm	92	CatalogServer_default_unsubstantiated	e633874c6aa03216	8	gaussian	renderer-default-unsubstantiated; inference happens to agree	-8.317384082920588	exact_text_present	not-probed	27e4a80934d5d43af7f04a3b599f2b919897ca4019f4f7b0359496c0561e0939	explicit_token_present	6				authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	ready	81282bd4c28db9192948ad5647f670e82caff32ec8bb2a484d444c6f20914364	bambi	scripts/examples/bambi.jl	true	bambi:dietox	pass	pass	dietox		unresolved-family		name_or_key_present	reachable-data-or-description	pass	false	pass	false	pass	f775e281d2707ac0d685e8a2d1b7d54ea7cda287b076d970a2f47664c986580f	gaussian	Hierarchical Linear Regression — Pig Growth	Weight ~ Time + (Time|Pig)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.571485+00:00	dietox	true	loc ~ Time + (Time|Pig)\nlog(sigma) ~ 1\nWeight ~ Normal(loc, sigma)	pass	family is not explicit or defensibly inferred	direct	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv	05c3f465e7987e8d7caa7e214fedddd90415a922	Weight ~ Time + (Time|Pig)		gaussian	text_offset=32; matched_terms=hierarchical,linear,pig,regression; context_sha256=5c63a9b5d81f61bc	direct population/likelihood route when the family and terms are supported	200	bridgestan-finite-density-gradient	4	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
confirmed	not-run	explicit Normal likelihood; residual scale estimated on log scale	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	The retrieved official/primary source contains the normalized claimed formula text.	confirmed	inferred-from-description	ordinary_brm	121	CatalogServer_default_unsubstantiated	120c7abcf006cdf4	10	gaussian	renderer-default-unsubstantiated; inference happens to agree	-8.317384082920588	exact_text_present	not-probed	1edfbb7abc19fd827115bbadf4019793a276980bcd69189649d239fdef65dca1	explicit_token_present	7				authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	ready	ea98686a223bac28c7fca02e91b479047736565c0fa8e292204398d014a6af2d	bambi	scripts/examples/bambi.jl	true	bambi:sleepstudy	pass	pass	sleepstudy		unresolved-family		name_or_key_present	reachable-data-or-description	pass	false	pass	false	pass	c234a305f43ff86987704aca7d99883449aaa5d29c4008f6084cd8a7f971e096	gaussian	Hierarchical Linear Regression — Sleep Deprivation	Reaction ~ 1 + Days + (Days | Subject)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.611857+00:00	sleepstudy	true	loc ~ 1 + Days + (Days | Subject)\nlog(sigma) ~ 1\nReaction ~ Normal(loc, sigma)	pass	family is not explicit or defensibly inferred	direct	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://ndownloader.figshare.com/files/31181002	05c3f465e7987e8d7caa7e214fedddd90415a922	Reaction ~ 1 + Days + (Days | Subject)		gaussian	text_offset=32; matched_terms=hierarchical,linear,regression,sleep,sleepstudy; context_sha256=f743de055d0c0408	direct population/likelihood route when the family and terms are supported	200	bridgestan-finite-density-gradient	5	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
confirmed	not-run	explicit Normal likelihood; residual scale estimated on log scale	https://bambinos.github.io/bambi/notebooks/radon_example.html	The retrieved official/primary source contains the normalized claimed formula text.	confirmed	inferred-from-description	ordinary_brm	162	CatalogServer_default_unsubstantiated	e4fd4161c4711597	12	gaussian	renderer-default-unsubstantiated; inference happens to agree	-7.817384082920588	exact_text_present	not-probed	b4cfc1bb7bf164c423983db7d9c6e06c3cb16637504e3ccdb2272f878f01ec16	explicit_token_present	2				authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi	scripts/examples/bambi.jl	true	bambi:radon_pooled	pass	pass	radon		unresolved-family		name_or_key_present	reachable-data-or-description	pass	false	pass	false	pass	4b52b2624b2d878fbaeec21e188814f8b4167035882458058ee22a3aa2c76e02	gaussian	Radon — Complete Pooling	log_radon ~ 0 + floor	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.610088+00:00	radon_pooled	true	loc ~ 0 + floor\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	family is not explicit or defensibly inferred	direct	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	05c3f465e7987e8d7caa7e214fedddd90415a922	log_radon ~ 0 + floor		gaussian	text_offset=32; matched_terms=radon; context_sha256=6772ed23bfaf627b	direct population/likelihood route when the family and terms are supported	200	bridgestan-finite-density-gradient	6	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
confirmed	not-run	explicit Normal likelihood; residual scale estimated on log scale	https://bambinos.github.io/bambi/notebooks/radon_example.html	The retrieved official/primary source contains the normalized claimed formula text.	confirmed	inferred-from-description	ordinary_brm	178	CatalogServer_default_unsubstantiated	f66156a0512117f2	14	gaussian	renderer-default-unsubstantiated; inference happens to agree	-3.8069883206128132	exact_text_present	not-probed	e8700a3971454ddc27dc5401bae43dd07efed661be6906bf15034826c8a1aade	explicit_token_present	2				authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi	scripts/examples/bambi.jl	true	bambi:radon_nopooling	pass	pass	radon		unresolved-family		name_or_key_present	reachable-data-or-description	pass	false	pass	false	pass	8f2a37ee2fbc509c892f978aaeb523dae01ae78fa45585cff61a59d0aa8083e3	gaussian	Radon — No Pooling	log_radon ~ 0 + county:floor	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.610088+00:00	radon_nopooling	true	loc ~ 0 + county & floor\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	family is not explicit or defensibly inferred	direct	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	05c3f465e7987e8d7caa7e214fedddd90415a922	log_radon ~ 0 + county:floor		gaussian	text_offset=1902; matched_terms=county,pooling; context_sha256=be17a1919e3ed9e4	direct population/likelihood route when the family and terms are supported	200	bridgestan-finite-density-gradient	7	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
confirmed	not-run	explicit Normal likelihood; residual scale estimated on log scale	https://bambinos.github.io/bambi/notebooks/radon_example.html	The retrieved official/primary source contains the normalized claimed formula text.	confirmed	inferred-from-description	ordinary_brm	194	CatalogServer_default_unsubstantiated	028bfd95057ed5a1	16	gaussian	renderer-default-unsubstantiated; inference happens to agree	-8.47744637392999	exact_text_present	not-probed	9c7f9604748a5de7aab16c2849dab2949f58bf3350e0708aca7e26c546f8b58d	explicit_token_present	6				authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi	scripts/examples/bambi.jl	true	bambi:radon_partial	pass	pass	radon		unresolved-family		name_or_key_present	reachable-data-or-description	pass	false	pass	false	pass	cdd785639a1743ba8874e60815beee900005ed1abd97bcfb4c5ac68109f53c45	gaussian	Radon — Partial Pooling (Intercept Only)	log_radon ~ 1 + (1|county)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.610088+00:00	radon_partial	true	loc ~ 1 + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	family is not explicit or defensibly inferred	direct	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	05c3f465e7987e8d7caa7e214fedddd90415a922	log_radon ~ 1 + (1|county)		gaussian	text_offset=1902; matched_terms=county,intercept,partial,pooling; context_sha256=be17a1919e3ed9e4	direct population/likelihood route when the family and terms are supported	200	bridgestan-finite-density-gradient	8	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
adapted-but-defensible	not-run	explicit Normal likelihood; residual scale estimated on log scale	https://bambinos.github.io/bambi/notebooks/radon_example.html	The cited model uses cell-means coding (0 + floor) while the catalog uses intercept-plus-contrast coding (1 + floor); for binary floor these span the same fixed-effect column space.	adapted-but-defensible	inferred-from-description	ordinary_brm	209	CatalogServer_default_unsubstantiated	b56724233a9c414d	18	gaussian	renderer-default-unsubstantiated; inference happens to agree	-7.817384082920588	partial_semantic_terms:3/3	not-probed	6a3fb93de56743080df55bbaf2cf1642fb8e0b4b60d31e23b75f514054501aed	explicit_token_present	7				authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi	scripts/examples/bambi.jl	true	bambi:radon_floor	pass	pass	radon		unresolved-family		name_or_key_present	reachable-data-or-description	pass	false	pass	true	pass	0c00e69534d1b1dd58cb916ff105e14b96410f43e992baa7d897beba2ca07037	gaussian	Radon — Partial Pooling with Floor	log_radon ~ 1 + floor + (1|county)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.610088+00:00	radon_floor	true	loc ~ 1 + floor + (1|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	family is not explicit or defensibly inferred	direct	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	05c3f465e7987e8d7caa7e214fedddd90415a922	log_radon ~ 1 + floor + (1|county)	If source-literal reproduction is required, use log_radon ~ 0 + floor + (1 | county).	gaussian	radon_example: source model block containing log_radon, 0 + floor, and county random intercept	direct population/likelihood route when the family and terms are supported	200	bridgestan-finite-density-gradient	9	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
adapted-but-defensible	not-run	explicit Normal likelihood; residual scale estimated on log scale	https://bambinos.github.io/bambi/notebooks/radon_example.html	The source uses floor cell means in both fixed and county-varying terms; the catalog uses intercept/slope coding. With a full correlated two-dimensional county effect this is an invertible reparameterization, although priors are not invariant.	adapted-but-defensible	inferred-from-description	ordinary_brm	224	CatalogServer_default_unsubstantiated	78f4dc75e92b683c	20	gaussian	renderer-default-unsubstantiated; inference happens to agree	-8.317384082920588	partial_semantic_terms:3/3	not-probed	d7f695d0ab8330e5d645a8f497e7c496fdb9c0bb4f31491d272a6f1be19d623f	explicit_token_present	6				authoritative brm_descriptor/brm_execute; experimental SbPMX semantic_app mount adapter	ready	8ef807a88bd293b86636285eca82f476d175186bae5307ae2e30d30ebe6ff09f	bambi	scripts/examples/bambi.jl	true	bambi:radon_slopes	pass	pass	radon		unresolved-family		name_or_key_present	reachable-data-or-description	pass	false	pass	true	pass	9cff9b063dd3f71b0e58587a853214b559815aeeac3d7787cb22445dbc3e071a	gaussian	Radon — Varying Slopes	log_radon ~ floor + (floor|county)	true	SbPMX origin/main@a8fd3c02e1e2305683a56c91384701bfeba6b528:design/{ASKS.md,SbPMX.jl,mock_runtime.jl},compat/check-semantic-model-pipeline.jl		2026-07-28T21:07:08.610088+00:00	radon_slopes	true	loc ~ floor + (floor|county)\nlog(sigma) ~ 1\nlog_radon ~ Normal(loc, sigma)	pass	family is not explicit or defensibly inferred	direct	pass	unresolved-family	https://bambinos.github.io/bambi/notebooks/radon_example.html	@options + option_domain/option_records + semantic_card under semantic_app	cited_project_author_publisher_surface	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	05c3f465e7987e8d7caa7e214fedddd90415a922	log_radon ~ floor + (floor|county)	For literal provenance use log_radon ~ 0 + floor + (0 + floor | county).	gaussian	radon_example: varying-slopes model block with 0 + floor in fixed and county terms	direct population/likelihood route when the family and terms are supported	200	bridgestan-finite-density-gradient	10	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
