key	deployed	family_text_claim	dataset_source_claim	row_source_claim	hidden_claim	historical_sha	source_line	example_claim	source	source_path	formula_claim	formula_match	name_claim	formula_return	family_claim_provenance	row_index	verified_claim	family_claim	dataset_claim	variant	family_selected	family_selected_provenance	family_audit_evidence_class	family_audit_evidence_strength	family_audit_authoritative_surface	family_audit_authoritative_revision	family_audit_authoritative_path_anchor	family_audit_retrieved_at_utc	family_audit_http_status	family_audit_explicit_evidence	family_audit_semantic_evidence	family_audit_dataset_evidence	family_audit_negative_evidence	family_audit_decision_rationale	semantic_route	route_note	translation_status	surface_support_class	surface_secondary_gap	current_brm_body	translation_note	data_columns	group_columns	data_shape_assumptions
escs	true	gaussian	https://ndownloader.figshare.com/files/28870722	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	17	escs	bambi	scripts/examples/bambi.jl	drugs ~ o + c + e + a + n	true	Multiple Linear Regression	drugs ~ o + c + e + a + n	inferred-from-description	1	true		escs	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	drugs,o,c,e,a,n		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
escs	true	gaussian	https://ndownloader.figshare.com/files/28870722	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	17	escs	bambi	scripts/examples/bambi.jl	drugs ~ o + c + e + a + n	true	Multiple Linear Regression	drugs ~ o + c + e + a + n	inferred-from-description	1	true		escs	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ o + c + e + a + n\nlog(sigma) ~ 1\ndrugs ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	drugs,o,c,e,a,n		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
cherry_blossoms_explicit	true	gaussian	https://ndownloader.figshare.com/files/31072807	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	46	cherry_blossoms	bambi	scripts/examples/bambi.jl	doy ~ bs(year, knots=iknots, intercept=True)	true	Regression Splines — Explicit Intercept	doy ~ bs(year, knots=iknots, intercept=True)	inferred-from-description	2	false		cherry_blossoms	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	doy,year,iknots,True		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
cherry_blossoms_explicit	true	gaussian	https://ndownloader.figshare.com/files/31072807	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	46	cherry_blossoms	bambi	scripts/examples/bambi.jl	doy ~ bs(year, knots=iknots, intercept=True)	true	Regression Splines — Explicit Intercept	doy ~ bs(year, knots=iknots, intercept=True)	inferred-from-description	2	false		cherry_blossoms	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	unsupported	historical-semantics-unresolved			bs(...) arguments do not map mechanically to current s(...) semantics	doy,year,iknots,True		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
cherry_blossoms_absorbed	true	gaussian	https://ndownloader.figshare.com/files/31072807	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	63	cherry_blossoms	bambi	scripts/examples/bambi.jl	doy ~ bs(year, knots=iknots)	true	Regression Splines — Absorbed Intercept	doy ~ bs(year, knots=iknots)	inferred-from-description	3	false		cherry_blossoms	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	doy,year,iknots		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
cherry_blossoms_absorbed	true	gaussian	https://ndownloader.figshare.com/files/31072807	https://bambinos.github.io/bambi/notebooks/splines_cherry_blossoms.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	63	cherry_blossoms	bambi	scripts/examples/bambi.jl	doy ~ bs(year, knots=iknots)	true	Regression Splines — Absorbed Intercept	doy ~ bs(year, knots=iknots)	inferred-from-description	3	false		cherry_blossoms	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	unsupported	historical-semantics-unresolved			bs(...) arguments do not map mechanically to current s(...) semantics	doy,year,iknots		synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
dietox	true	gaussian	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	92	dietox	bambi	scripts/examples/bambi.jl	Weight ~ Time + (Time|Pig)	true	Hierarchical Linear Regression — Pig Growth	Weight ~ Time + (Time|Pig)	inferred-from-description	4	false		dietox	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	Weight,Time,Pig	Pig	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
dietox	true	gaussian	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv	https://bambinos.github.io/bambi/notebooks/multi-level_regression.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	92	dietox	bambi	scripts/examples/bambi.jl	Weight ~ Time + (Time|Pig)	true	Hierarchical Linear Regression — Pig Growth	Weight ~ Time + (Time|Pig)	inferred-from-description	4	false		dietox	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ Time + (Time|Pig)\nlog(sigma) ~ 1\nWeight ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	Weight,Time,Pig	Pig	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
sleepstudy	true	gaussian	https://ndownloader.figshare.com/files/31181002	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	121	sleepstudy	bambi	scripts/examples/bambi.jl	Reaction ~ 1 + Days + (Days | Subject)	true	Hierarchical Linear Regression — Sleep Deprivation	Reaction ~ 1 + Days + (Days | Subject)	inferred-from-description	5	false		sleepstudy	exact-metadata		unresolved													ordinary_brm	direct population/likelihood route when the family and terms are supported	unresolved-family	historical-semantics-unresolved	family evidence remains indeterminate		family is not explicit or defensibly inferred	Reaction,Days,Subject	Subject	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
sleepstudy	true	gaussian	https://ndownloader.figshare.com/files/31181002	https://bambinos.github.io/bambi/notebooks/sleepstudy.html	false	05c3f465e7987e8d7caa7e214fedddd90415a922	121	sleepstudy	bambi	scripts/examples/bambi.jl	Reaction ~ 1 + Days + (Days | Subject)	true	Hierarchical Linear Regression — Sleep Deprivation	Reaction ~ 1 + Days + (Days | Subject)	inferred-from-description	5	false		sleepstudy	inferred-family	gaussian	inferred-from-description													ordinary_brm	direct population/likelihood route when the family and terms are supported	ready	already-expressible-verbatim		loc ~ 1 + Days + (Days | Subject)\nlog(sigma) ~ 1\nReaction ~ Normal(loc, sigma)	explicit Normal likelihood; named log-scale sigma predictor uses native linked-predictor syntax	Reaction,Days,Subject	Subject	synthetic n=12; positive continuous predictors; integer groups; family-valid outcome
